sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,-0.02221968816803539,0.0064112844449679685,0.03522831797253829
white fir,15,ABCO,Abies concolor,2016,1954,-0.06885387847014313,-0.02902196416877345,0.012304503984384771
grand fir,17,ABGR,Abies grandis,1768,1754,-0.014871881266611675,0.014357759034957063,0.044066999919881306
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.08906411370954813,-0.030775816540098866,0.02114759257592656
California red fir,20,ABMA,Abies magnifica,579,582,-0.021222408512186017,0.015447671839053712,0.05985009440350447
noble fir,22,ABPR,Abies procera,401,423,-0.08130907530346314,-0.01838503164316574,0.0401492444196638
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,-0.13568247085951954,0.03004362726698062,0.21278022023927057
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.2281990634904878,-0.052983904544686045,0.03903103291252355
California juniper,62,JUCA7,Juniperus californica,64,65,-0.015263872945331158,0.12804293210079187,0.37133199066447325
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.040828712395225876,-0.004972578767239888,0.030808693095893243
western larch,73,LAOC,Larix occidentalis,1059,1056,-0.02704550340596006,0.009441605217514137,0.04546366888455984
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.09788362236107341,-0.02058968681094786,0.06254272504416936
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,-0.02442391587254016,0.030035660908946937,0.08178790274551688
Sitka spruce,98,PISI,Picea sitchensis,269,261,-0.14284497063275248,-0.06982741207443333,-0.0022459417003273183
whitebark pine,101,PIAL,Pinus albicaulis,203,181,-0.028465460983199797,0.07436202354046806,0.18118226331248868
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.6018549427636366,-0.015780461992862982,0.6010352676727113
lodgepole pine,108,PICO,Pinus contorta,2255,2193,0.003499771778591887,0.04116480012386603,0.07950447424466908
