sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,-27.410330599603185,11.27067360062744,-49.50085085683297,-5.319810342373405
white fir,15,ABCO,Abies concolor,1992,1954,0.15276602568087583,5.119259983081293,-9.880983541158459,10.18651559252021
grand fir,17,ABGR,Abies grandis,1737,1754,-3.226582858282427,6.6639181669408085,-16.287862465486413,9.834696748921557
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,27.8449711180167,18.79434793085068,-8.991950826450633,64.68189306248404
California red fir,20,ABMA,Abies magnifica,577,582,-1.0043399602418503,6.336751258448203,-13.424372426800328,11.415692506316628
noble fir,22,ABPR,Abies procera,386,423,4.6991865706299905,19.708031899654806,-33.92855595269343,43.32692909395341
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,41.943279403470115,26.882372630120795,-10.74617095156664,94.63272975850687
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,52.16555347126632,63.34240308147773,-71.98555656843003,176.31666351096266
California juniper,62,JUCA7,Juniperus californica,64,65,2.8245818156268,3.7537214005560915,-4.532712129463139,10.18187576071674
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,1.6635120227666107,1.5908087181860016,-1.4544730648779525,4.781497110411173
western larch,73,LAOC,Larix occidentalis,1057,1056,-3.201190997502067,4.478727318771402,-11.979496542294015,5.577114547289881
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,12.465258375676967,5.931990617801432,0.8385567647861603,24.091959986567772
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,2.7350999689479067,12.551411081822652,-21.86566575142449,27.335865689320304
Sitka spruce,98,PISI,Picea sitchensis,266,261,-5.75047617375094,20.801362707097372,-46.52114707966179,35.02019473215991
whitebark pine,101,PIAL,Pinus albicaulis,198,181,-2.4525397342978295,28.840274180482062,-58.97947712804267,54.07439765944701
knobcone pine,103,PIAT,Pinus attenuata,83,77,38.51261530459578,95.56079921448635,-148.78655115579747,225.81178176498904
lodgepole pine,108,PICO,Pinus contorta,2252,2193,-3.2206749372681998,6.653677038207824,-16.261881932155532,9.820532057619134
Jeffrey pine,116,PIJE,Pinus jeffreyi,634,622,1.1237818508184318,7.932088447144069,-14.423111505583943,16.670675207220807
sugar pine,117,PILA,Pinus lambertiana,987,914,8.049813070291748,10.180147573678225,-11.903276174117572,28.002902314701068
western white pine,119,PIMO3,Pinus monticola,598,605,17.03786949212622,22.062318749444017,-26.20427525678405,60.28001424103649
ponderosa pine,122,PIPO,Pinus ponderosa,4573,4606,0.7842158744300605,2.4740624325028593,-4.064946493275544,5.633378242135665
gray pine,127,PISA2,Pinus sabiniana,195,185,10.198861362204525,9.071769213916676,-7.581806297072159,27.97952902148121
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,0.09769588059970147,5.975458621876071,-11.614203018277397,11.8095947794768
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,4.736260575427195,3.142049757111677,-1.4221569485116916,10.894678099366082
redwood,211,SESE3,Sequoia sempervirens,240,242,22.46410497115039,13.970051424094185,-4.9171958200742125,49.845405762374995
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-18.526898982291186,18.761095901133395,-55.29864694851264,18.244848983930268
western redcedar,242,THPL,Thuja plicata,1455,1487,0.7718563924506725,9.270475550689042,-17.39827568689985,18.941988471801196
western hemlock,263,TSHE,Tsuga heterophylla,2733,2788,-2.267118799712989,7.357380984059354,-16.68758552846932,12.153347929043344
mountain hemlock,264,TSME,Tsuga mertensiana,730,754,11.193268095231133,13.792389968866573,-15.83981624374735,38.226352434209616
bigleaf maple,312,ACMA3,Acer macrophyllum,940,941,-8.358655030644968,8.355824652573068,-24.73607134968818,8.018761288398245
California buckeye,333,AECA,Aesculus californica,79,74,16.9938227892261,18.659052896153376,-19.57792088723452,53.56556646568672
red alder,351,ALRU2,Alnus rubra,1311,1286,11.226817111391028,12.021783684138422,-12.335878909520279,34.78951313230233
white alder,352,ALRH2,Alnus rhombifolia,67,66,21.82223207275956,48.70702469367058,-73.64353632683478,117.2880004723539
Pacific madrone,361,ARME,Arbutus menziesii,839,803,-19.12657790966159,11.568709476097313,-41.801248482812326,3.5480926634891397
paper birch,375,BEPA,Betula papyrifera,76,70,11.285310492822191,57.731584009229465,-101.86859416526755,124.43921515091193
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,342,328,22.41033197890988,24.490799187957045,-25.59163442948593,70.4122983873057
Pacific dogwood,492,CONU4,Cornus nuttallii,94,84,4.334005133222263,51.28503423190096,-96.18466196130362,104.85267222774814
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,29.716504090765056,21.022876440565497,-11.488333732743314,70.92134191427343
tanoak,631,NODE3,Notholithocarpus densiflorus,646,643,-10.018817079048631,9.623050864809514,-28.879996774075277,8.842362615978015
quaking aspen,746,POTR5,Populus tremuloides,118,106,9.460380629068823,27.296516882712133,-44.040792461046955,62.9615537191846
black cottonwood,747,POBAT,Populus balsamifera,167,167,-35.025744140901,28.638887498021933,-91.15796363702398,21.10647535522199
bitter cherry,768,PREM,Prunus emarginata,125,158,19.261982266233417,52.233421320631685,-83.11552352220468,121.63948805467152
California live oak,801,QUAG,Quercus agrifolia,199,194,-1.1893621571806534,7.015346658241018,-14.939441607333048,12.560717292971741
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,10.590565278197573,7.162078770533848,-3.447109112048768,24.628239668443914
blue oak,807,QUDO,Quercus douglasii,340,335,-0.6108352192395614,0.45176016382032996,-1.4962851403274082,0.2746147018482853
Oregon white oak,815,QUGA4,Quercus garryana,331,332,5.5785284149028485,6.384528383392572,-6.935147216546593,18.09220404635229
California black oak,818,QUKE,Quercus kelloggii,894,847,-6.938444777020095,6.153938191912864,-19.000163633169308,5.12327407912912
California white oak,821,QULO,Quercus lobata,62,60,-11.839857538947399,12.518147957512213,-36.375427535671335,12.695712457776537
interior live oak,839,QUWI2,Quercus wislizeni,204,197,2.517593655256178,6.675702928505383,-10.566784084614373,15.601971395126728
California laurel,981,UMCA,Umbellularia californica,264,277,-19.725429927601,13.521675032762618,-46.22791299181573,6.7770531366137305
