sppname,spp.codes,Spp.symbol,SciName,n.lt,n.gt,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,-0.09901953198375336,0.13192853687929418,0.3657545515088543
white fir,15,ABCO,Abies concolor,751,721,-0.8901790556980151,-0.6328734723062643,-0.3777093579481789
grand fir,17,ABGR,Abies grandis,544,693,-0.08167649577382434,0.11617178966329611,0.315044434006016
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-0.6074036210547149,-0.3442436354577971,-0.08650780131378864
California red fir,20,ABMA,Abies magnifica,199,165,-0.8249973077418877,-0.44150431305263993,-0.059603430608255625
noble fir,22,ABPR,Abies procera,83,151,-0.6946887069894262,-0.27383694968231787,0.14555270645180032
western juniper,64,JUOC,Juniperus occidentalis,130,295,-0.2155369535161853,0.16125179950816104,0.5437228438206613
western larch,73,LAOC,Larix occidentalis,277,207,0.09566025811585113,0.39380275793681996,0.6884845199086694
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-0.9854280954812972,-0.5476878533489007,-0.0962966381191344
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,0.041924075031082184,0.36512255372312996,0.675215701662753
Sitka spruce,98,PISI,Picea sitchensis,92,62,-0.7021155409149789,-0.33172663353419596,0.031954888649491246
lodgepole pine,108,PICO,Pinus contorta,884,868,0.3908612476010858,0.6047086923581411,0.8167981715336239
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-0.8231079036901242,-0.3994497532667669,0.047933156237678055
sugar pine,117,PILA,Pinus lambertiana,226,121,-0.2278306041391978,0.4177378125812874,1.0606359248944475
western white pine,119,PIMO3,Pinus monticola,158,144,-0.6018986447466241,-0.024780144550238248,0.5736497667172926
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-0.6289536784852643,-0.3877093435141603,-0.1468716055752092
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2731,0.5002040313135835,0.7160214242733138,0.9325665796721316
western redcedar,242,THPL,Thuja plicata,219,473,-0.2791181853755227,0.060538586384469184,0.3909245948545751
western hemlock,263,TSHE,Tsuga heterophylla,823,1119,-0.1656036681175295,0.028428105389956215,0.22026579219407005
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,-0.3995004193361149,-0.0334532276204067,0.32982136139249435
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-1.8250682930535627,-1.0709045334744784,-0.32895204525525396
red alder,351,ALRU2,Alnus rubra,663,458,-0.36690355450229184,-0.09368857968126587,0.1816449035261937
Pacific madrone,361,ARME,Arbutus menziesii,313,157,-0.36096919991258747,0.31473639662054076,0.9835086482124923
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-1.1780359145520558,-0.5126702958667702,0.137905010628299
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-0.6054402895066671,-0.003388046280153212,0.6039509756801025
bitter cherry,768,PREM,Prunus emarginata,59,102,-0.5093083251683482,-0.003074743974723404,0.4757478377541354
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-0.6538113900436359,-0.0509692032623299,0.5487910593330936
blue oak,807,QUDO,Quercus douglasii,68,60,-0.3306936359468332,0.6769371005846523,1.6609930482063981
Oregon white oak,815,QUGA4,Quercus garryana,89,107,-0.5216800311267836,0.5948931716784758,1.7082985174604324
California black oak,818,QUKE,Quercus kelloggii,326,171,-0.46186117551092026,0.04768992728586241,0.5620108241690679
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-0.895492599240016,0.09435966447656696,1.0870120287371434
