sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,-8.244512228884142e-4,0.0053833961763467,0.011871092893602225
white fir,15,ABCO,Abies concolor,1992,1954,-0.048879981441655965,-0.02625928095870189,-0.004943795753918845
grand fir,17,ABGR,Abies grandis,1737,1754,-0.010110816838606268,0.0010488950486108317,0.012265888314043807
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,-0.04877413316617995,-0.026454642357916947,-0.00598992869989599
California red fir,20,ABMA,Abies magnifica,577,582,-0.05266991023530172,-0.02445066925120476,0.0020164164517211484
noble fir,22,ABPR,Abies procera,386,423,-0.03898560827610747,-0.019936072979540254,-0.0025541997071580457
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,-0.05869040628625194,0.010820774356096186,0.07610960313976751
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,-0.05659019499946506,-0.01732021170901865,0.01119947295823657
California juniper,62,JUCA7,Juniperus californica,64,65,-0.11360514651318837,-0.024765234036367545,0.06050320929631045
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.01447121838502487,-0.001958699107942552,0.009851268278761547
western larch,73,LAOC,Larix occidentalis,1057,1056,-0.013866145479068736,-0.001939217540952054,0.009480723316840866
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,-0.054202171319341526,-0.020644518584074234,0.013042474105792672
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,-0.006163546414334076,0.010445764996900198,0.027337363638511764
Sitka spruce,98,PISI,Picea sitchensis,266,261,-0.004819121900212012,0.006726050840192815,0.01863520573783845
whitebark pine,101,PIAL,Pinus albicaulis,198,181,-0.0014584183167824939,0.03151299608643143,0.06914858327417056
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.3633994520762281,-0.11714511707169573,0.1648644811433545
lodgepole pine,108,PICO,Pinus contorta,2252,2193,-0.007847791592571336,0.006138388247397986,0.022985574344403837
Jeffrey pine,116,PIJE,Pinus jeffreyi,634,622,-0.04483066374284874,-0.021696537703249863,-2.3819565993573065e-4
sugar pine,117,PILA,Pinus lambertiana,987,914,-0.07009389872319557,-0.03105875343656672,0.007944379935545701
western white pine,119,PIMO3,Pinus monticola,598,605,-0.08251393594286711,-0.05217283609155243,-0.023441462767643598
ponderosa pine,122,PIPO,Pinus ponderosa,4573,4606,-0.02434455543505077,-0.010910286657758395,0.0026037167948646236
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.03912288528866847,0.03314073350447555,0.11602386911850851
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-0.1044274663700729,0.0012637216677107155,0.09002898494738919
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,-0.01513140784198797,-0.005160124377253772,0.005478996065385022
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.007906101795888423,0.004822463514708386,0.023810733001100145
Pacific yew,231,TABR2,Taxus brevifolia,220,206,0.005118665258574512,0.04476882633131407,0.10043365540011433
western redcedar,242,THPL,Thuja plicata,1455,1487,-0.005207721082655345,0.002660776554554045,0.010491142041853679
western hemlock,263,TSHE,Tsuga heterophylla,2733,2788,-0.004817014591595415,0.001424564957245189,0.007726704871548584
mountain hemlock,264,TSME,Tsuga mertensiana,730,754,-0.018529088801556088,-0.005664307179987671,0.00704725293960619
bigleaf maple,312,ACMA3,Acer macrophyllum,940,941,-0.07227060779764839,-0.041058022229807034,-0.010898989227186896
California buckeye,333,AECA,Aesculus californica,79,74,-0.16531914507569448,-0.03568165960887648,0.09353620195158145
red alder,351,ALRU2,Alnus rubra,1311,1286,-0.026615049347222065,-0.010904306673022668,0.002632826470682392
white alder,352,ALRH2,Alnus rhombifolia,67,66,-0.2565743398466032,-0.10048076617414292,0.027016128393851088
Pacific madrone,361,ARME,Arbutus menziesii,839,803,0.030087643836952283,0.054680441836272076,0.08060455601690904
paper birch,375,BEPA,Betula papyrifera,76,70,-0.10186269273972184,-0.02942603865272897,0.05325699512440958
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,342,328,-0.06544603581739503,-0.019562622278509356,0.022164794817454214
Pacific dogwood,492,CONU4,Cornus nuttallii,94,84,-0.022568032318848755,0.1866197103201832,0.402996706676907
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-0.10137271724954453,-0.028766186274867267,0.031182341027492243
tanoak,631,NODE3,Notholithocarpus densiflorus,646,643,-0.019800994742058674,0.006888346482487484,0.032019313402402313
quaking aspen,746,POTR5,Populus tremuloides,118,106,-0.12766924049959702,-0.04538609398265803,0.026073204035367094
black cottonwood,747,POBAT,Populus balsamifera,167,167,-0.0419686154819749,0.01672730757227403,0.10260438350430955
bitter cherry,768,PREM,Prunus emarginata,125,158,-0.04666504309161546,0.009590355478463597,0.06494077488737895
California live oak,801,QUAG,Quercus agrifolia,199,194,-0.08100748272653822,-0.04218466505718377,-0.008142951419719205
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,-0.06925298987421055,-0.03490504017592988,-0.005752687752515534
