STATECD.x,PLOT_STATUS_CD,PLOT_FIADB.x,State_Plot,STATECD.y,PLOT_FIADB.y,sum_propfor,n_plots
41,1,70583,7058341,41,70583,2,2
41,1,76564,7656441,41,76564,2,2
41,1,85052,8505241,41,85052,2,2
41,1,82454,8245441,41,82454,2,2
41,1,96577,9657741,41,96577,2,2
41,1,63766,6376641,41,63766,2,2
41,1,56181,5618141,41,56181,2,2
41,1,64976,6497641,41,64976,0.8426020000000001,2
41,1,61630,6163041,41,61630,2,2
41,1,81914,8191441,41,81914,2,2
41,1,92139,9213941,41,92139,2,2
41,1,95878,9587841,41,95878,2,2
41,1,81335,8133541,41,81335,2,2
41,1,60282,6028241,41,60282,2,2
41,1,88977,8897741,41,88977,2,2
41,1,57353,5735341,41,57353,2,2
41,1,59951,5995141,41,59951,2,2
41,1,53340,5334041,41,53340,2,2
41,1,61738,6173841,41,61738,2,2
41,1,63863,6386341,41,63863,2,2
41,1,77547,7754741,41,77547,2,2
41,1,92652,9265241,41,92652,2,2
41,1,85265,8526541,41,85265,2,2
41,1,74491,7449141,41,74491,2,2
41,1,90520,9052041,41,90520,2,2
41,1,58603,5860341,41,58603,2,2
41,1,68250,6825041,41,68250,2,2
41,1,55847,5584741,41,55847,2,2
41,1,50271,5027141,41,50271,1.21936,2
41,1,54133,5413341,41,54133,2,2
41,1,63726,6372641,41,63726,2,2
41,1,72423,7242341,41,72423,2,2
41,1,98042,9804241,41,98042,2,2
41,1,69482,6948241,41,69482,2,2
41,1,88069,8806941,41,88069,2,2
41,1,97447,9744741,41,97447,2,2
41,1,86623,8662341,41,86623,2,2
41,1,93622,9362241,41,93622,2,2
41,1,70143,7014341,41,70143,2,2
41,1,90835,9083541,41,90835,1.859595,2
41,1,75266,7526641,41,75266,2,2
41,1,59779,5977941,41,59779,1.854246,2
41,1,73861,7386141,41,73861,2,2
41,1,65969,6596941,41,65969,2,2
41,1,85430,8543041,41,85430,2,2
41,1,63929,6392941,41,63929,2,2
41,1,62715,6271541,41,62715,2,2
41,1,81909,8190941,41,81909,2,2
41,1,85293,8529341,41,85293,2,2
41,1,93630,9363041,41,93630,1.830687,2
41,1,82732,8273241,41,82732,2,2
41,1,81023,8102341,41,81023,2,2
41,1,98352,9835241,41,98352,1.804752,2
41,1,92788,9278841,41,92788,2,2
41,1,64047,6404741,41,64047,2,2
41,1,69620,6962041,41,69620,2,2
41,1,94278,9427841,41,94278,2,2
41,1,68683,6868341,41,68683,1.8911229999999999,2
41,1,97676,9767641,41,97676,2,2
41,1,60508,6050841,41,60508,2,2
41,1,69537,6953741,41,69537,2,2
41,1,63430,6343041,41,63430,2,2
41,1,59948,5994841,41,59948,2,2
41,1,60777,6077741,41,60777,2,2
41,1,72884,7288441,41,72884,2,2
41,1,77490,7749041,41,77490,2,2
41,1,70032,7003241,41,70032,2,2
41,1,61343,6134341,41,61343,1.6635550000000001,2
41,1,81594,8159441,41,81594,2,2
41,1,93940,9394041,41,93940,2,2
41,1,70250,7025041,41,70250,2,2
41,1,52034,5203441,41,52034,1.8706909999999999,2
41,1,60943,6094341,41,60943,2,2
41,1,89155,8915541,41,89155,2,2
41,1,66410,6641041,41,66410,1.781464,2
41,1,68222,6822241,41,68222,1.974299,2
41,1,68118,6811841,41,68118,1.8146239999999998,2
41,1,61326,6132641,41,61326,2,2
41,1,97472,9747241,41,97472,2,2
41,1,66385,6638541,41,66385,2,2
41,1,97522,9752241,41,97522,2,2
41,1,83725,8372541,41,83725,2,2
41,1,77037,7703741,41,77037,2,2
41,1,90275,9027541,41,90275,2,2
41,1,98727,9872741,41,98727,2,2
41,1,60518,6051841,41,60518,1.850694,2
41,1,57818,5781841,41,57818,2,2
41,1,70771,7077141,41,70771,2,2
41,1,74329,7432941,41,74329,2,2
41,1,64024,6402441,41,64024,2,2
41,1,63657,6365741,41,63657,2,2
41,1,83486,8348641,41,83486,2,2
41,1,53561,5356141,41,53561,1.534401,2
41,1,71928,7192841,41,71928,2,2
