sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,-0.0038407794696322384,0.02154110037564405,-0.04606133620589458,0.038379777266630104
white fir,15,ABCO,Abies concolor,1992,1954,-0.032379214527974653,0.023162008238462584,-0.07777675067536133,0.013018321619412014
grand fir,17,ABGR,Abies grandis,1737,1754,-0.0020433249681470755,0.02253905568348696,-0.046219874107781514,0.04213322417148736
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,0.021799870450114334,0.03838519935011445,-0.05343512027611,0.09703486117633867
California red fir,20,ABMA,Abies magnifica,577,582,-0.0083599761375579,0.02578442938728264,-0.058897457736631874,0.04217750546151607
noble fir,22,ABPR,Abies procera,386,423,0.041830362331648274,0.04169852159383002,-0.03989873999225857,0.12355946465555512
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,-0.029402254594794286,0.04053713758630099,-0.10885504426394423,0.050050535074355654
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,0.08124508853045764,0.08879804974196638,-0.09279908896379646,0.25528926602471175
California juniper,62,JUCA7,Juniperus californica,64,65,0.07386928649391855,0.04803660323435805,-0.020282455845423222,0.1680210288332603
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,0.007206009824554549,0.015299952112793287,-0.022781896316520292,0.03719391596562939
western larch,73,LAOC,Larix occidentalis,1057,1056,-0.0017437006068101724,0.018499863903909147,-0.0380034338584721,0.03451603264485176
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,-0.018922981163685293,0.030466288543739985,-0.07863690670941567,0.04079094438204508
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,0.058594481632966655,0.03224533315380486,-0.004606371348490873,0.12179533461442418
Sitka spruce,98,PISI,Picea sitchensis,266,261,-0.009467987245864506,0.039496451141450416,-0.08688103148310732,0.0679450569913783
whitebark pine,101,PIAL,Pinus albicaulis,198,181,0.05752047052425979,0.1056262494688294,-0.14950697843464583,0.2645479194831654
knobcone pine,103,PIAT,Pinus attenuata,83,77,0.03207986011441477,0.21109368236417886,-0.3816637573193758,0.44582347754820534
