sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
lodgepole pine,108,PICO,Pinus contorta,2252,2193,0.038309183376087574,0.018799066275619197,0.0014630134758739505,0.0751553532763012
Jeffrey pine,116,PIJE,Pinus jeffreyi,634,622,-0.036779792616293605,0.02347344102297088,-0.08278773702131653,0.009228151788729322
sugar pine,117,PILA,Pinus lambertiana,987,914,0.013814044611917708,0.03238769894068953,-0.04966584531183378,0.0772939345356692
western white pine,119,PIMO3,Pinus monticola,598,605,0.07501172474407358,0.0631873364380735,-0.048835454674550485,0.19885890416269764
ponderosa pine,122,PIPO,Pinus ponderosa,4573,4606,-0.019500455813938444,0.017563030998080414,-0.053923996570176054,0.014923084942299165
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.005917437893499411,0.05285739415144199,-0.10951793043032572,0.0976830546433269
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-0.004997667859544919,0.046160123268819735,-0.0954715094664316,0.08547617374734176
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,0.02966470742217986,0.011467869095337936,0.007187683995317506,0.05214173084904221
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.011689069939929908,0.00858220164771586,-0.028510185169452994,0.005132045289593178
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-0.03302828407968583,0.06397190870290836,-0.15841322513738623,0.09235665697801457
western redcedar,242,THPL,Thuja plicata,1455,1487,-0.006122828266962088,0.022409700789411454,-0.050045841814208535,0.03780018528028436
western hemlock,263,TSHE,Tsuga heterophylla,2733,2788,-0.02098615932259662,0.017360354794986887,-0.05501245472077092,0.013040136075577677
mountain hemlock,264,TSME,Tsuga mertensiana,730,754,0.06488400942540462,0.02914793182478176,0.007754063048832374,0.12201395580197687
bigleaf maple,312,ACMA3,Acer macrophyllum,940,941,-0.046238607033965096,0.02270152635718087,-0.0907335986940396,-0.001743615373890589
California buckeye,333,AECA,Aesculus californica,79,74,-0.06028506954889856,0.0942934550775311,-0.24510024150085952,0.12453010240306239
red alder,351,ALRU2,Alnus rubra,1311,1286,-0.03321803374794641,0.02698836127656446,-0.08611522185001275,0.01967915435411994
white alder,352,ALRH2,Alnus rhombifolia,67,66,-0.20254360952836947,0.17401156268707804,-0.5436062723950424,0.1385190533383035
Pacific madrone,361,ARME,Arbutus menziesii,839,803,0.017824202466373507,0.03509843283964556,-0.050968725899331796,0.08661713083207881
paper birch,375,BEPA,Betula papyrifera,76,70,0.18191023409567997,0.12341495011390657,-0.05998306812757692,0.42380353631893686
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,342,328,0.046884591272041476,0.05822737031266731,-0.06724105454078645,0.1610102370848694
Pacific dogwood,492,CONU4,Cornus nuttallii,94,84,-0.0036738482435758613,0.15001079194222441,-0.2976950004503357,0.290347303963184
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-0.05942562106620031,0.06920483092638383,-0.1950670896819126,0.076215847549512
tanoak,631,NODE3,Notholithocarpus densiflorus,646,643,0.00967058807870913,0.025573062133820462,-0.04045261370357898,0.05979378986099724
quaking aspen,746,POTR5,Populus tremuloides,118,106,-0.036017809028688674,0.08931830013349994,-0.21108167729034855,0.1390460592329712
black cottonwood,747,POBAT,Populus balsamifera,167,167,0.007015528780501157,0.062258297551715816,-0.11501073442086183,0.12904179198186416
bitter cherry,768,PREM,Prunus emarginata,125,158,0.0040519067453903546,0.10817024929738875,-0.2079617818774916,0.2160655953682723
California live oak,801,QUAG,Quercus agrifolia,199,194,-0.026082027134934904,0.011497527379150945,-0.04861718079807076,-0.00354687347179905
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,0.009108432536857336,0.022576611896117288,-0.03514172677953255,0.05335859185324722
blue oak,807,QUDO,Quercus douglasii,340,335,0.007874842208259736,0.004276434589990984,-5.069695881225935e-4,0.016256654004642067
Oregon white oak,815,QUGA4,Quercus garryana,331,332,0.0288180716438724,0.04034645286154343,-0.05026097596475272,0.10789711925249752
California black oak,818,QUKE,Quercus kelloggii,894,847,-0.03370507217615604,0.025893385662562194,-0.08445610807477794,0.017045963722465862
California white oak,821,QULO,Quercus lobata,62,60,-0.010398247237208835,0.009343138653277969,-0.028710798997633655,0.007914304523215985
interior live oak,839,QUWI2,Quercus wislizeni,204,197,0.0685076286426316,0.04861243790947604,-0.026772749659941433,0.16378800694520462
California laurel,981,UMCA,Umbellularia californica,264,277,0.007382843576476006,0.041091395713770275,-0.07315629202251372,0.08792197917546574
