sppname,spp.codes,Spp.symbol,SciName,n.lt,n.gt,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,-160.8210975342055,-113.50032698357211,-65.84410645675631
white fir,15,ABCO,Abies concolor,751,721,7.420072882392996,92.40563418839446,175.64660665987546
grand fir,17,ABGR,Abies grandis,544,693,-145.80300487400487,-25.772819787917342,93.68054662003524
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-190.19841722501755,-108.82384481398663,-25.97420186617095
California red fir,20,ABMA,Abies magnifica,199,165,-44.930235000528285,-11.83782336661966,20.94187563001613
noble fir,22,ABPR,Abies procera,83,151,-193.68311139708075,-110.70445726504875,-27.054416641157044
western juniper,64,JUOC,Juniperus occidentalis,130,295,-130.61030011054885,17.12195491493003,168.04530568760015
western larch,73,LAOC,Larix occidentalis,277,207,-148.10398143134344,-102.90378450314483,-58.411139165659385
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-252.68689612946912,-117.60879009856626,18.06373470640164
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,-114.74487089079297,-41.8783791323126,30.21534307641303
Sitka spruce,98,PISI,Picea sitchensis,92,62,-130.3776105457919,-35.40473236248795,62.02948181656772
lodgepole pine,108,PICO,Pinus contorta,884,868,-91.88528171070679,-2.8840802779134265,86.7523513100816
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-161.13390612611266,-106.06756512867724,-51.66405528165209
sugar pine,117,PILA,Pinus lambertiana,226,121,-129.30579216778258,-78.74976770729359,-27.692868419541924
western white pine,119,PIMO3,Pinus monticola,158,144,-43.439378495682,-16.91536217306043,9.048258042160171
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-378.69703675536266,-233.56144036430345,-85.66125210431024
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2731,-117.45683530125216,19.966286014090656,158.9453745956966
western redcedar,242,THPL,Thuja plicata,219,473,-62.9202188095268,15.78086633255566,95.27983873082623
western hemlock,263,TSHE,Tsuga heterophylla,823,1119,-295.27754428096625,-178.11451646559806,-58.99288536271744
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,-92.34012497540303,107.25583997594993,311.846604393683
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-99.97501470586153,34.254420239576234,167.1643303777222
red alder,351,ALRU2,Alnus rubra,663,458,4.84156307194212,200.26594139771214,392.8566183676782
Pacific madrone,361,ARME,Arbutus menziesii,313,157,-59.35402972973597,78.61750656623047,218.78657641668994
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-21.121269383779712,153.0120165501096,324.3552773055078
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,12.919399256243793,125.47357718771559,252.46644044004807
bitter cherry,768,PREM,Prunus emarginata,59,102,-287.4870483293235,-83.69545781053284,124.34694727531313
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-84.4341641824981,112.24319729671117,320.32255466653
blue oak,807,QUDO,Quercus douglasii,68,60,-183.45008732411415,-62.80313234881601,60.320302117259054
Oregon white oak,815,QUGA4,Quercus garryana,89,107,-81.39283718120458,-28.504825186671724,28.974378222726635
California black oak,818,QUKE,Quercus kelloggii,326,171,-93.54950868108645,3.683075220183241,102.54196677523328
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-35.317731014173695,56.28198512123629,148.57553053054644
