sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,-42.04582897679006,-24.743329976512314,-8.865072696727815
white fir,15,ABCO,Abies concolor,1992,1954,-8.862380623911747,-0.28074172476033254,8.289165551345784
grand fir,17,ABGR,Abies grandis,1737,1754,-12.0974409966544,-2.1196714368121548,8.096611260244027
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,0.21936707590760993,25.57292217211966,59.2916949350213
California red fir,20,ABMA,Abies magnifica,577,582,-12.861380238287563,-1.8515345454088674,8.835995849895136
noble fir,22,ABPR,Abies procera,386,423,-24.836228449892996,6.607078870948953,39.48372814385274
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,-7.0900854496483134,41.19766870706803,102.7214718970288
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,-49.18959100090251,34.20061870771042,166.8562662173744
California juniper,62,JUCA7,Juniperus californica,64,65,-8.86792183336002,0.9784909598990623,11.177066234495584
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.6356267284179978,1.996759928031139,4.8504453134253085
western larch,73,LAOC,Larix occidentalis,1057,1056,-8.955201354772116,-2.901904114599972,2.8493434581865844
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,1.9469608956336746,11.350439002641565,21.162180232875343
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,-14.61557752804637,2.439162386824478,19.517458959291737
Sitka spruce,98,PISI,Picea sitchensis,266,261,-49.350366411838145,-6.434006797981056,36.12931468527493
whitebark pine,101,PIAL,Pinus albicaulis,198,181,-28.520142675629028,1.3966162013733765,33.74839652531827
knobcone pine,103,PIAT,Pinus attenuata,83,77,-112.94096612892565,27.86879452597111,165.35393982953482
lodgepole pine,108,PICO,Pinus contorta,2252,2193,-12.914265022558851,-3.410807049844095,6.276585235272674
Jeffrey pine,116,PIJE,Pinus jeffreyi,634,622,-13.743129321092294,0.4358316251600627,12.10387730265588
sugar pine,117,PILA,Pinus lambertiana,987,914,-9.701251768067879,6.100890262727717,21.620702552786977
western white pine,119,PIMO3,Pinus monticola,598,605,-17.009510884236754,12.384259139986511,40.65294200397055
ponderosa pine,122,PIPO,Pinus ponderosa,4573,4606,-4.960233721552847,-0.20647704037429548,4.604281183436287
gray pine,127,PISA2,Pinus sabiniana,195,185,-10.766266135751593,9.034707000652986,28.71996643523849
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-11.481224751886101,-2.645766622115815,8.865159422875134
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,-1.2450820527504105,4.252649823611478,9.955650998971038
redwood,211,SESE3,Sequoia sempervirens,240,242,1.536262892859395,18.602922643504712,51.77566782652564
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-51.09034530154976,-21.711560112631332,4.0680374985126635
western redcedar,242,THPL,Thuja plicata,1455,1487,-13.15256484403752,1.31853713569501,15.841289470921215
western hemlock,263,TSHE,Tsuga heterophylla,2733,2788,-15.775434843095354,-3.424617693827713,9.055631839867042
mountain hemlock,264,TSME,Tsuga mertensiana,730,754,-12.55001596712936,9.12711923860411,34.99375617213618
bigleaf maple,312,ACMA3,Acer macrophyllum,940,941,-24.64248527170814,-8.798819837209862,6.890295288119394
California buckeye,333,AECA,Aesculus californica,79,74,-22.410487743460337,18.09433157388753,63.0122905456456
red alder,351,ALRU2,Alnus rubra,1311,1286,-9.503072522259997,13.204118287329266,36.94185087349918
white alder,352,ALRH2,Alnus rhombifolia,67,66,-43.33882137388319,20.311456569888833,96.13376980072528
Pacific madrone,361,ARME,Arbutus menziesii,839,803,-37.17588314883978,-18.478705918226865,-0.5242388518599527
paper birch,375,BEPA,Betula papyrifera,76,70,-121.43954900142734,14.146480154837434,108.2817441055773
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,342,328,-16.228445516762488,21.125764005724136,60.30872284652858
Pacific dogwood,492,CONU4,Cornus nuttallii,94,84,-72.19451038453909,8.688105491909027,88.11937318312587
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-10.939574381173104,25.277995252358323,74.58635199055757
tanoak,631,NODE3,Notholithocarpus densiflorus,646,643,-29.271593074904377,-12.059579383407822,4.485442631225939
quaking aspen,746,POTR5,Populus tremuloides,118,106,-26.579196503805218,4.987674285789808,48.24500568286917
black cottonwood,747,POBAT,Populus balsamifera,167,167,-84.6189792652137,-33.268566087420254,15.695239844341506
bitter cherry,768,PREM,Prunus emarginata,125,158,-77.32877728323461,19.88867398140519,129.802404588931
California live oak,801,QUAG,Quercus agrifolia,199,194,-20.513087657556625,-2.1835363798502385,11.45417334478119
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,-3.397657731343287,9.306645711283068,22.28898882992437
blue oak,807,QUDO,Quercus douglasii,340,335,-2.2516510218331347,-0.7899697541302544,0.165059522317736
Oregon white oak,815,QUGA4,Quercus garryana,331,332,-7.0853089869773385,5.546084828805078,22.349566690579906
California black oak,818,QUKE,Quercus kelloggii,894,847,-22.736816953789457,-8.129061179662813,4.979826909552209
California white oak,821,QULO,Quercus lobata,62,60,-42.691903756525875,-10.846039628605695,3.9831149510588095
interior live oak,839,QUWI2,Quercus wislizeni,204,197,-14.79724898219124,0.7831765231885015,16.465335679255965
California laurel,981,UMCA,Umbellularia californica,264,277,-41.44786529559591,-19.66626301291535,0.8977482655402637
