spp,pred1,pred2,x.min,x.max,aic.vals,moran.p,slope.true,int.p,slp.p,int.coef,slp.coef,center.adj,int.alone.est,int.alone.p
X11,0.1386454818562284,0.1386454818562284,0.1315500059,2.65610011815,,,0,0,NA,0.1386454818562284,NA,0.834608008794892,0.1386454818562284,0
X15,0.037615692931109945,0.8935965390954135,0.313650014,5.01455023285,,,1,0,0,0.3428718746677604,0.18208870776110744,1.9900646884186546,0.3458343053793428,0
X17,0.10232405890277994,0.42402106989514277,0.09030000395,3.0934001565,,,1,0,0,0.22523951073928866,0.10712163918982277,1.2377381197792288,0.22673426793003496,0
X19,0.15841547350789506,0.27859818725144553,0.23910000885,2.39605010745,,,1,0,0.004682250395977139,0.21182965107493884,0.05571881974532319,1.1977380024612545,0.212136750533331,0
X20,0.12203668283891778,0.5908869420114308,0.313650014,4.25505018245,,,1,0,1.7567944965435345e-7,0.315183255952919,0.1189552542585123,1.9373409919055,0.31778729040482045,0
X22,0.1309237393626281,0.1309237393626281,0.1315500059,2.6671501458,,,0,2.220446049250313e-16,NA,0.1309237393626281,NA,0.8182629754944445,0.1309237393626281,2.220446049250313e-16
X41,0.08098273437660883,0.2654316905659043,0.17305000835,2.6427501202,,,1,0,2.3289529119741026e-4,0.1607590711272456,0.07468475840620531,1.241224271119101,0.15986839875249417,0
X42,0.16973813085583564,0.16973813085583564,0.165850007,1.7316000998,,,0,3.2360780721774063e-12,NA,0.16973813085583564,NA,0.8531347868868644,0.16973813085583564,3.2360780721774063e-12
X62,0.6438297442180619,0.6438297442180619,1.42875006795,7.55130033485,,,0,2.027578105412431e-11,NA,0.6438297442180619,NA,4.0263332505656715,0.6438297442180619,2.027578105412431e-11
X64,0.07479421641929643,0.6737724753628987,0.3688500177,5.6083002328500005,,,1,0,0,0.20786068873682226,0.11432082267174556,1.5328240795347847,0.2094336295740083,0
X73,0.18358333678264818,0.2889230655313357,0.3336000137,2.60375011565,,,1,0,0.0010833947102375507,0.23052200998503825,0.04640209854767021,1.3451635996479203,0.23052384620247313,0
X81,0.03402845691918305,0.9568901050091351,0.40120002475,4.83235026595,,,1,0,0,0.3882886542194117,0.20826683769585566,2.10219189277642,0.3950734493210684,0
X93,0.1651177141936318,0.30166664584142416,0.19970001005,2.5665001511,,,1,0,3.6735443316593397e-4,0.22764527675102628,0.05769347790693226,1.2834891111033333,0.2285211304049654,0
X98,0.08685277987367941,0.08685277987367941,0.08485000365,1.04200005235,,,0,2.9633538534135084e-7,NA,0.08685277987367941,NA,0.37721952975353534,0.08685277987367941,2.9633538534135084e-7
X101,0.11669896991045337,0.43378417638619576,0.56945002835,2.57680010205,,,1,0,1.3938237899413508e-5,0.25423142178846603,0.15796208674816878,1.440117507548815,0.25289549477319934,0
X103,0.05265710461406292,0.7031752269013329,0.46460002695,4.68140023945,,,1,0,1.4112970792012902e-9,0.32593349353126144,0.15426818665938158,2.236037125128788,0.3262413244654492,1.441090802245526e-9
X108,0.06912193664047189,0.47718968731228883,0.0774000027,3.5593001723,,,1,0,0,0.20494128620341087,0.11719685539367307,1.2362992675882218,0.20559712684585998,0
X116,0.0927414807938926,0.7988797683634001,0.6575000242,5.01455023285,,,1,0,7.327471962526033e-15,0.35374634532317767,0.16206797116260438,2.2679654521124424,0.3546829838246751,0
X117,0.12630125679528936,0.8208146465240509,0.46360002535,4.83235026595,,,1,0,0,0.41203549355987035,0.15897301321427287,2.260975762195675,0.41055752248198973,0
X119,0.07431388892001904,0.3962434498958789,0.1315500059,3.4097501874,,,1,0,3.766687406425717e-9,0.19297571945364778,0.09820314292965329,1.3398802791849478,0.19240156256650592,0
X122,0.09129829059151129,0.7268702696723679,0.2750300105,4.8984502435,,,1,0,0,0.2700654110172938,0.13746792353946438,1.5754578908590275,0.2710492883502668,0
X127,0.32113111622918894,1.0358937493683553,0.7347000301,5.72775027765,,,1,0,1.3913020069367121e-8,0.6341477605173973,0.14315150012557706,2.9213110262377993,0.6346391686864751,0
X133,0.44766880040158435,0.44766880040158435,1.39117507035,7.92150039675,,,0,1.3653522756840175e-12,NA,0.44766880040158435,NA,3.4232356224097087,0.44766880040158435,1.3653522756840175e-12
X202,0.03700963660504572,0.6745210607529395,0.03830000185,4.8512002467,,,1,0,0,0.19291624636871865,0.13245889000713384,1.215318847133063,0.19310199317214924,0
X211,-0.06608327332777125,0.8062626115955591,0.07600000335,3.4208001733,,,1,2.420140739589627e-6,0,0.14463876726424338,0.26080657755299347,0.8839629104557377,0.15159918993660648,6.4255786874301e-4
X231,0.0194964677189806,0.5568875168470204,0.1773000078,4.5063502311,,,1,1.8261414602704917e-9,1.0495919338104898e-6,0.13067407034879414,0.1241360163103839,1.072911176373593,0.12930595271421766,2.00491366864064e-6
X242,0.07951273110517468,0.07951273110517468,0.05375000289999999,2.0535500766,,,0,0,NA,0.07951273110517468,NA,0.7714130301529166,0.07951273110517468,0
X263,0.09426249410541977,0.09426249410541977,0.05375000289999999,1.83380008935,,,0,0,NA,0.09426249410541977,NA,0.722344722081903,0.09426249410541977,0
X264,0.07216458941406403,0.3685321460996607,0.1315500059,3.0991001725,,,1,0,1.3373529816895768e-7,0.16341750780987083,0.09986943439785306,1.0452721967384864,0.1640542399101543,0
X312,-0.01821612235775008,0.7318282604352343,0.06980000335,4.79080023755,,,1,0,0,0.14006763457566174,0.1588740405813777,1.066084584230515,0.14100655438718962,4.361311312095495e-11
X333,0.11658464749458125,0.9316903792293783,0.23960001035,4.5724001885,,,1,1.0880185641326534e-14,5.725041085646865e-8,0.5431423656436611,0.1881244687547136,2.507022855302976,0.5474326600728159,4.267594211349035e-8
X351,0.0029623518144328564,0.485129791753368,0.03830000185,3.6693001628,,,1,0,0,0.07607894697270429,0.1327919081702224,0.5889103226576897,0.07604625336688119,0
X352,0.052487686747558826,0.8265288256428713,0.2255500126,4.79080023755,,,1,2.7977620220553945e-14,1.7300166983424958e-6,0.37860087088341626,0.16955064908929282,2.1489468611966216,0.379180555214363,2.311115029418609e-5
X361,0.007197985997990847,0.6842940777534098,0.09030000395,4.5032502293,,,1,0,0,0.228314784462159,0.153433883723834,1.5314210464320945,0.23125381645605977,0
X375,-0.0349358873571031,0.15944366219531747,0.39085001575,2.3579501212,,,1,0.13121149012945565,0.02143971545209844,0.0315693823840062,0.09881528093759809,1.063876182452976,0.030779749500044373,0.17083399098260243
X431,0.04831541277474043,0.4369723672976899,0.0774000027,4.83235026595,,,1,0,1.2799475346270128e-7,0.14464874700065034,0.08173733330646936,1.255972025165104,0.1445352356727692,0
X492,0.051950587738751414,0.8642387330469934,0.247700011,4.79080023755,,,1,1.2999068488284138e-10,3.834266237845441e-12,0.264985881165339,0.17879599938412283,1.4391992288818585,0.2601455528521432,3.4267971802282027e-4
X542,-0.02537326271912474,0.7957477124142348,0.34420001585,4.59030020235,,,1,1.7787488736620283e-4,8.881784197001252e-16,0.08216689926058642,0.19338238361497492,0.9003011454845589,0.08848574054539936,0.05467201046400527
X631,-0.0384527588309409,0.80496402611581,0.09030000395,4.205000174,,,1,0,0,0.213243654878445,0.2049764867646485,1.3182282296804986,0.21721887041883545,0
X746,0.0045519215603331276,0.44186914782630915,0.4108500213,2.7736501336,,,1,3.867091091791508e-10,1.3477911320336489e-7,0.20368870036325173,0.18508430907440668,1.4867747163688976,0.20105320023898893,1.0355154600460992e-5
X747,0.04894487697532194,0.4025119874812142,0.06350000225,4.9873201965,,,1,3.214632737780221e-8,0.008277094110762606,0.10927671027018679,0.07180747804698173,0.9036887254271505,0.10928928489566364,7.493181770623636e-7
X768,0.06046911000462826,0.06046911000462826,0.03830000185,2.10685009955,,,0,0.003873930644841428,NA,0.06046911000462826,NA,0.6071542963030303,0.06046911000462826,0.003873930644841428
X801,0.04240746677036411,1.2593900179110589,0.31320001445,5.49340024,,,1,8.881784197001252e-15,0,0.4163923382166424,0.23492963556471091,1.9051016514968293,0.41948058222472373,5.997180529959678e-11
X805,0.0756520024195051,0.9822345224548367,0.2312000106,5.97280027865,,,1,0,0,0.4435729589611054,0.1578971850548612,2.5613299392226447,0.44692572333128383,0
X807,0.12902340459353123,1.273809696173689,0.5489000291,5.39770029785,,,1,0,0,0.670033742763649,0.23609681325877316,2.840376693705147,0.6696037470922953,0
X815,0.08937463440954027,0.92310342776951,0.23960001035,5.72775027765,,,1,0,0,0.2765913109655869,0.15191435233243686,1.4719830846388406,0.27401556871370225,0
X818,0.10745991367166507,1.0593946899684683,0.3788000219,5.72775027765,,,1,0,0,0.5043983700304187,0.17796665341456389,2.6092091954326757,0.5019845471757082,0
X821,0.15359253105446002,0.8551878990767989,0.7470500401,4.6740002394,,,1,1.9312291099637946e-8,1.3814178689841583e-9,0.44211327177369736,0.17866164132853077,2.3619503543129032,0.46486524879948854,2.3469159082800672e-6
X839,0.048797436681337736,1.1417144315511998,0.50640002795,5.97280027865,,,1,0,1.8139267865535658e-11,0.5344070219083599,0.1999335842138359,2.9352545254897726,0.5335309000405338,0
