sppname,spp.codes,Spp.symbol,SciName,n.lt,n.gt,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,-0.32598395365431454,-0.09137466684293205,0.1390703588203095
white fir,15,ABCO,Abies concolor,751,721,-0.8626565330076229,-0.6058617709601579,-0.35186587969113414
grand fir,17,ABGR,Abies grandis,544,693,-0.4485115130925866,-0.2203465567240137,0.0023192483038999403
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-0.6228244348189266,-0.37351103554446974,-0.12049794528916521
California red fir,20,ABMA,Abies magnifica,199,165,-1.112384417603012,-0.6876048163758504,-0.2597493454583573
noble fir,22,ABPR,Abies procera,83,151,-0.5194497838324156,-0.1152107678620582,0.27687135929196555
western juniper,64,JUOC,Juniperus occidentalis,130,295,-0.3772323651949367,-0.026433252874598523,0.32479689733767425
western larch,73,LAOC,Larix occidentalis,277,207,0.03315155044984,0.2516200531437205,0.4673256506174337
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-0.9406423664138651,-0.5855257174794488,-0.22483361820364317
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,-0.03414339058782325,0.2508416791989867,0.5431940725611762
Sitka spruce,98,PISI,Picea sitchensis,92,62,-0.27985687512606955,0.06874369738217911,0.41026005900742146
lodgepole pine,108,PICO,Pinus contorta,884,868,0.12242235791698293,0.2756993575653124,0.4286707618083446
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-0.6474636584947685,-0.23939807935739665,0.17487928231960695
sugar pine,117,PILA,Pinus lambertiana,226,121,-0.3408750986263035,0.23611462278506412,0.7948261499188266
western white pine,119,PIMO3,Pinus monticola,158,144,-0.04345961654313317,0.4788261800474021,1.0095951268212726
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-0.6078471188305026,-0.35812793545422217,-0.10953835516382225
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2731,0.10638483562320764,0.25210101353049463,0.39878238790629983
western redcedar,242,THPL,Thuja plicata,219,473,-0.8388762913944254,-0.5435553977877277,-0.24972396512842163
western hemlock,263,TSHE,Tsuga heterophylla,823,1119,-0.44824339780843947,-0.2808529684662666,-0.11685606780858356
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,-0.205016610274656,0.14589103251301072,0.49883805128935643
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-0.7590868005423597,-0.4254266670156097,-0.09261878729393527
red alder,351,ALRU2,Alnus rubra,663,458,-0.3525703994458743,-0.1774690522210518,0.0014635343744383346
Pacific madrone,361,ARME,Arbutus menziesii,313,157,-0.71558096397537,-0.28747621026298553,0.15086192509392002
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-0.9513235613880074,-0.5355246182744446,-0.11757018948849114
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-0.42701572251815884,-0.18268751123976035,0.06386062504079708
bitter cherry,768,PREM,Prunus emarginata,59,102,-0.37208619971568185,0.04407998168038407,0.4810976781828192
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-0.5685643683137143,-0.20079621078133414,0.15746028945652243
blue oak,807,QUDO,Quercus douglasii,68,60,-0.3287913691396445,0.17553053320807166,0.7013475128870718
Oregon white oak,815,QUGA4,Quercus garryana,89,107,-0.8420356756027769,-0.21690713726298494,0.4132039983947195
California black oak,818,QUKE,Quercus kelloggii,326,171,-0.8434366177506664,-0.463237661771255,-0.07795187569969432
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-0.30645057967307865,0.24280534323774727,0.7670141749107419
