sppname,spp.codes,Spp.symbol,SciName,n.lt,n.gt,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,-0.015249259822564231,0.018859909136067776,0.05391561936128893
white fir,15,ABCO,Abies concolor,751,721,-0.26758051602736105,-0.17238870132109885,-0.07686185781131957
grand fir,17,ABGR,Abies grandis,544,693,-0.0011985643531678908,0.05196775435857748,0.10519151959566377
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-0.13246396404969965,-0.051851878956110764,0.029280605692148614
California red fir,20,ABMA,Abies magnifica,199,165,-0.4933084542437831,-0.303747874433447,-0.11028936949303568
noble fir,22,ABPR,Abies procera,83,151,-0.14025118769652425,-0.047701883948306434,0.034680102321804934
western juniper,64,JUOC,Juniperus occidentalis,130,295,-0.15809741287297294,-0.05027489100819349,0.05356539135457937
western larch,73,LAOC,Larix occidentalis,277,207,-0.06785895601233362,0.006915720717561746,0.08088323621991633
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-0.47438785080013596,-0.31281257685893693,-0.14986264594029286
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,-0.024458989235474418,0.06094683243921517,0.14453552980508438
Sitka spruce,98,PISI,Picea sitchensis,92,62,-0.023743727668583257,0.025037577078101447,0.07289382004410977
lodgepole pine,108,PICO,Pinus contorta,884,868,-0.11185734764460205,-0.05570917611575266,0.0010496751744570134
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-0.18890107004753845,-0.02421738796116113,0.1378163000141421
sugar pine,117,PILA,Pinus lambertiana,226,121,-0.2725849335639801,-0.014582528671866601,0.23511431794662757
western white pine,119,PIMO3,Pinus monticola,158,144,-0.38735582631135057,-0.22748006910981766,-0.06621589388926627
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-0.21008245894271554,-0.12757890042198738,-0.047016357137184724
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2731,0.041713021430113795,0.09381750137546019,0.14596175931276795
western redcedar,242,THPL,Thuja plicata,219,473,0.006519442404614582,0.06548637344797292,0.1243768173132719
western hemlock,263,TSHE,Tsuga heterophylla,823,1119,-0.026912572146746888,0.0017458163203604715,0.03028925375011328
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,-0.04792055167042226,0.04137909997550321,0.1325829775022034
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-0.5176934897604307,-0.32595865078049663,-0.1345704393613835
red alder,351,ALRU2,Alnus rubra,663,458,-0.1067480442660772,-0.06569634687764159,-0.02613753216462539
Pacific madrone,361,ARME,Arbutus menziesii,313,157,0.12034870797940471,0.28959350558276176,0.4587878224524583
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-0.23043987819995415,-0.07190801203583286,0.08572561337406646
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-0.1821673466671022,-0.04537044883957708,0.08681457668375663
bitter cherry,768,PREM,Prunus emarginata,59,102,-0.06433091491786967,0.03770636486659362,0.13205891452211263
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-0.2633954182499137,-0.0600161172858118,0.14341935924059176
blue oak,807,QUDO,Quercus douglasii,68,60,0.10396823121186123,0.44968893053370884,0.8016090492463559
Oregon white oak,815,QUGA4,Quercus garryana,89,107,-0.12081686419360768,0.15436576180691242,0.43416690019865983
California black oak,818,QUKE,Quercus kelloggii,326,171,-0.31136790378299134,-0.10738077367924159,0.10142881717223837
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-0.3659424293183294,-0.04860611938766435,0.2731609472264201
