SppNames,spp.codes,Spp.symbol,SciName,n.lt,n.gt,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,0.019244076291478285,0.026359883858938143,-0.03242129607204047,0.07090944865499704
white fir,15,ABCO,Abies concolor,751,721,-0.17167835849306412,0.059054138710832114,-0.28742447036629504,-0.055932246619833176
grand fir,17,ABGR,Abies grandis,544,693,0.052310199422463954,0.03846190834982169,-0.02307514094318655,0.12769553978811446
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,-0.052191689036343414,0.0615998633600237,-0.17292742122198987,0.06854404314930304
California red fir,20,ABMA,Abies magnifica,199,165,-0.30308174689727485,0.12686534618103107,-0.5517378254120957,-0.05442566838245397
noble fir,22,ABPR,Abies procera,83,151,-0.04956799671506695,0.05080476523609427,-0.1491453365778117,0.05000934314767781
western juniper,64,JUOC,Juniperus occidentalis,130,295,-0.0509274353323812,0.05657854306836384,-0.16182137974637434,0.05996650908161193
western larch,73,LAOC,Larix occidentalis,277,207,0.007292230952978596,0.05476358544204579,-0.10004439651343115,0.11462885841938834
incense cedar,81,CADE27,Calocedrus decurrens,308,360,-0.31390064150922603,0.09398365417629866,-0.4981086036947714,-0.12969267932368067
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,0.06112204362632845,0.06502187161925148,-0.06632082474740444,0.18856491200006134
Sitka spruce,98,PISI,Picea sitchensis,92,62,0.02474895790398568,0.025926022108570625,-0.026066045428812745,0.0755639612367841
lodgepole pine,108,PICO,Pinus contorta,884,868,-0.0557547698493015,0.03731273522931883,-0.1288877308987664,0.0173781912001634
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,-0.023106895188752752,0.08522103806707013,-0.1901401298002102,0.1439263394227047
sugar pine,117,PILA,Pinus lambertiana,226,121,-0.013215271547025065,0.15613735002408377,-0.31924447759422925,0.2928139345001791
western white pine,119,PIMO3,Pinus monticola,158,144,-0.22592458735714227,0.09473442617339033,-0.41160406265698735,-0.04024511205729722
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-0.1280915583331539,0.045298954929453815,-0.21687750999488337,-0.03930560667142441
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2731,0.09394319417165353,0.02719162795527315,0.04064760337931816,0.1472387849639889
western redcedar,242,THPL,Thuja plicata,219,473,0.06598340307719819,0.03667863015013978,-0.00590671201707578,0.13787351817147214
western hemlock,263,TSHE,Tsuga heterophylla,823,1119,0.0017540676879879147,0.019058660567364463,-0.03560090702404643,0.03910904240002226
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,0.04119190129107719,0.05674909885853362,-0.0700363324716487,0.15242013505380309
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-0.3269427364342057,0.09252944823892531,-0.5083004549824993,-0.14558501788591208
red alder,351,ALRU2,Alnus rubra,663,458,-0.06607419490416966,0.02350761348637197,-0.11214911733745872,-0.019999272470880597
Pacific madrone,361,ARME,Arbutus menziesii,313,157,0.28997004775242985,0.0895021339381921,0.11454586523357332,0.46539423027128635
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,-0.07299955911777811,0.1008030164171818,-0.2705734712954544,0.1245743530598982
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,-0.045601773065238715,0.06698306159735519,-0.17688857379605488,0.08568502766557745
bitter cherry,768,PREM,Prunus emarginata,59,102,0.036666943226566495,0.05879332542787492,-0.07856797461206835,0.15190186106520134
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-0.059241251827452324,0.1119543027601318,-0.2786716852373107,0.160189181582406
blue oak,807,QUDO,Quercus douglasii,68,60,0.45272540863350974,0.16290203820628132,0.13343741374919837,0.7720134035178211
Oregon white oak,815,QUGA4,Quercus garryana,89,107,0.15319876118221454,0.13142309105273603,-0.10439049728114808,0.41078801964557715
California black oak,818,QUKE,Quercus kelloggii,326,171,-0.10685769422591607,0.09991704039704591,-0.30269509340412604,0.0889797049522939
interior live oak,839,QUWI2,Quercus wislizeni,85,68,-0.04691209036326516,0.14783779956962853,-0.33667417751973705,0.24284999679320673
