sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,0.0023642149599312212,0.003309348466962554,-0.0041221080353153845,0.008850537955177828
white fir,15,ABCO,Abies concolor,1992,1954,-0.020534542095275166,0.010230721193240058,-0.04058675563402568,-4.8232855652465337e-4
grand fir,17,ABGR,Abies grandis,1737,1754,0.002403834753596179,0.005849616178829581,-0.0090614129569098,0.013869082464102157
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,-0.019996650133796923,0.01222732071987654,-0.043962198744754946,0.003968898477161097
California red fir,20,ABMA,Abies magnifica,577,582,-0.022053638500967754,0.016110228364370264,-0.05362968609513347,0.009522409093197966
noble fir,22,ABPR,Abies procera,386,423,-0.014719347132065352,0.008123199046841424,-0.030640817263874544,0.0012021229997438397
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,0.010823819411641011,0.027616776009572835,-0.043305061567121744,0.06495270039040377
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,-0.005689012786725622,0.017836633919439855,-0.040648815268827736,0.02927078969537649
California juniper,62,JUCA7,Juniperus californica,64,65,-0.02932658155806145,0.034681223293372344,-0.09730177921307125,0.03864861609694835
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.002630235979012463,0.005360384607757838,-0.013136589810217826,0.0078761178521929
western larch,73,LAOC,Larix occidentalis,1057,1056,-0.0016537752255183502,0.006733691445114711,-0.014851810457943183,0.011544260006906483
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,-0.011197949332763635,0.013475331831505968,-0.03760959972251533,0.015213701056988063
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,0.010927990133668741,0.009827389002139161,-0.008333692310524013,0.030189672577861495
Sitka spruce,98,PISI,Picea sitchensis,266,261,0.0035292687598607597,0.004953763625799133,-0.006180107946705541,0.01323864546642706
whitebark pine,101,PIAL,Pinus albicaulis,198,181,0.029008456138862382,0.02271924950538842,-0.015521272891698919,0.07353818516942368
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.07251249168507146,0.1230083309705449,-0.31360882038733945,0.16858383701719654
lodgepole pine,108,PICO,Pinus contorta,2252,2193,0.0033932058643832974,0.006916417647138154,-0.010162972724007483,0.01694938445277408
Jeffrey pine,116,PIJE,Pinus jeffreyi,634,622,-0.02003977551502789,0.009498903129977409,-0.03865762564978361,-0.0014219253802721724
sugar pine,117,PILA,Pinus lambertiana,987,914,-0.02497716447798659,0.017166618819192864,-0.05862373736360461,0.008669408407631425
western white pine,119,PIMO3,Pinus monticola,598,605,-0.04212103965513547,0.01648301449155324,-0.07442774805857982,-0.009814331251691122
ponderosa pine,122,PIPO,Pinus ponderosa,4573,4606,-0.00946519989667527,0.005506058704697926,-0.020257074957883203,0.0013266751645326664
gray pine,127,PISA2,Pinus sabiniana,195,185,0.02025993659864378,0.03169654275824426,-0.04186528720751497,0.08238516040480254
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-8.96638113137449e-4,0.02967000003938918,-0.059049838190340244,0.057256561964065346
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,-0.0039035747243936214,0.0040634523726580715,-0.011867941374803442,0.004060791926016199
redwood,211,SESE3,Sequoia sempervirens,240,242,0.005607434454282689,0.005751500616147473,-0.005665506753366358,0.016880375661931735
