STATECD,PLOT_FIADB,INVYR,pre.temp,post.temp
53,53851,2008,10.01233,10.70238
6,69459,2003,17.32040072,17.49603775
6,68132,2007,17.39516431,18.45518226
6,60907,2008,17.45832773,18.49625521
6,84689,2004,16.78112803,17.67036428
6,85956,2009,18.56332838,18.33874969
6,83164,2007,17.04756434,18.07861848
6,55148,2009,16.98258309,17.44949119
6,61285,2001,16.04641888,16.49150973
6,87553,2008,16.92069152,17.7677459
6,54820,2005,17.20776433,18.42689143
6,65629,2007,15.30260067,16.38841903
6,84116,2009,16.12434612,16.91838587
6,80367,2009,16.39118281,16.94797935
6,55209,2004,21.81369178,22.62721984
6,52440,2002,21.98821876,22.31034647
6,96189,2009,16.82387326,17.64342235
6,73263,2001,16.70370945,16.9558197
6,72515,2008,22.61950968,23.19741926
6,63093,2006,22.13476483,22.63590955
6,82468,2008,22.21420094,22.7646372
6,58758,2001,16.61514591,16.91761908
6,66888,2003,16.01849188,16.62510959
6,93160,2005,16.10718325,17.45431009
6,58124,2007,22.74983711,23.25434709
6,81095,2002,22.10991013,22.69569199
6,89784,2004,22.1141836,22.63612841
6,60006,2006,22.48521944,22.73430977
6,76602,2002,16.30138214,16.75167361
6,56743,2004,16.31472823,17.06860081
6,97310,2009,22.77101881,23.03832571
6,93909,2001,22.46954679,22.75212846
6,81132,2003,22.25736445,22.71518295
6,55340,2006,22.49007368,22.88620068
6,60538,2004,16.17992809,16.81801916
6,71460,2001,22.68980096,22.87749138
6,71580,2003,22.45661912,22.8161832
6,97569,2005,22.34071003,22.99876383
6,94947,2007,22.56389195,23.26843761
6,58978,2009,22.75874654,23.07665124
6,84582,2002,22.50654637,22.92651044
6,95926,2004,22.30096401,23.01561893
6,59963,2006,22.58103718,23.23821845
6,59594,2008,22.64245543,23.41883736
6,96642,2004,22.56989184,23.03834679
6,61236,2002,22.46932855,22.91149216
6,77270,2008,22.77369215,23.70300133
6,96707,2005,17.73692814,18.65000076
6,80263,2003,22.53380089,22.82834639
6,89502,2005,22.54169235,23.28723661
6,99876,2007,22.7235286,23.71501909
6,75015,2007,22.53196443,23.67178352
6,85992,2009,22.5849281,23.66869878
6,77295,2001,22.50714631,22.61049177
6,94079,2006,22.29491026,23.67811005
6,65343,2008,17.778746,19.08463742
6,58977,2001,17.33252841,17.15992834
6,85267,2003,20.25778347,20.39247294
6,89323,2009,18.32383704,19.52380208
6,63424,2006,18.70789192,19.61800135
6,63870,2008,18.56400112,19.63985519
6,81153,2002,17.85109139,18.22952791
6,88090,2005,15.87609164,17.22721885
6,89796,2001,16.43750983,16.00092753
6,90028,2008,17.72172786,18.65001949
6,65291,2009,16.52460046,17.51368044
6,75312,2003,15.52714657,15.99194608
6,53722,2004,24.06032899,23.70507459
6,60208,2007,24.17849239,24.76243772
6,61060,2002,14.22169139,14.46301911
6,59697,2003,19.57398303,19.44674659
6,81918,2008,18.6034548,19.66751012
6,55221,2005,15.12683738,16.22785487
6,62147,2009,14.70005531,15.96153857
6,55154,2001,14.69374606,14.45409135
6,61742,2007,18.70583756,19.54831009
6,79738,2006,15.5721099,16.09078265
6,72732,2007,16.72518213,17.53623711
6,69466,2007,15.60200063,16.24163761
6,92893,2006,16.60163683,17.46040077
6,62130,2009,19.92374646,20.72565897
6,84929,2003,15.673401,15.21752777
6,55510,2002,21.89907383,21.55467405
6,57068,2001,16.96180096,16.41874618
6,52542,2001,21.69627405,21.31421956
6,92730,2009,17.20421902,18.68033492
6,92239,2007,15.78861909,16.75140095
6,83958,2003,15.28089137,17.16743729
6,66125,2005,17.56518257,18.31372823
6,59447,2002,16.33656443,15.57736454
6,79785,2009,13.9884917,14.86453681
6,96764,2006,12.78941864,13.53434595
6,54753,2008,13.16065527,14.08176424
6,74822,2003,25.71661991,25.75260148
6,70946,2006,19.33805559,20.0286009
6,80830,2007,11.99287331,13.1153463
6,55685,2009,11.78432766,13.15887661
6,87139,2009,25.70511027,26.63209735
6,70406,2003,9999,9999
6,80359,2004,12.04390965,11.80901876
6,66098,2008,9999,9999
6,67638,2009,12.11732774,13.43990784
6,94249,2009,9999,9999
6,51576,2001,11.63436418,11.42456403
6,62877,2003,9999,9999
6,80491,2008,11.95901866,13.11030938
6,59093,2002,9999,9999
6,86776,2005,16.68501871,17.73585552
6,75148,2006,7.011727749,8.060327729
6,97889,2003,12.07729134,11.45830959
6,83517,2009,17.14152818,18.38068442
6,98451,2003,7.059418531,7.502254703
6,51199,2002,14.98861899,14.46156441
6,84253,2006,16.48860106,17.69474584
6,56643,2003,15.1564552,14.46330989
6,93429,2007,14.68529172,15.59309156
6,51434,2005,14.75780062,15.30350975
6,57971,2006,14.64383706,15.38150966
6,61651,2008,14.51501893,15.49792806
6,59197,2003,14.1011279,12.75654593
