STATECD,INVYR,PLOT_STATUS_CD,PLOT_FIADB,plt_cn,intensification,propfor,propnonfor,propwater,propmiss,STRATUM
6,2003,2,80263,24319104010900,0,0,0,1,0,0
6,2013,2,80263,44540273020004,0,0,0,1,0,0
6,2005,2,89502,15262139010497,0,0,0,1,0,0
6,2015,2,89502,273640722489998,0,0,0,1,0,0
6,2007,2,99876,22956412010497,0,0,0,1,0,0
6,2017,2,99876,412220080489998,0,0,0,1,0,0
6,2007,2,75015,22954822010497,0,0,0,1,0,0
6,2017,2,75015,412220077489998,0,0,0,1,0,0
6,2009,2,85992,29880074010497,0,0,0,1,0,0
6,2019,2,85992,558627806126144,0,0,0,1,0,0
6,2001,2,77295,23710261010900,0,0,0,1,0,0
6,2011,2,77295,48204362010497,0,0,0,1,0,0
6,2016,2,94079,345933496489998,0,0,0,1,0,0
6,2006,2,94079,8927845010901,0,0,0,1,0,0
6,2010,2,63054,15655117010497,0,0,0,1,0,0
6,2010,2,66063,9827836010902,0,0,0,1,0,0
6,2008,2,65343,22930089010497,0,0,0,1,0,0
6,2018,2,65343,484817396489998,0,0,0,1,0,0
6,2001,2,58977,23711509010900,0,0,0,1,0,0
6,2011,2,58977,48204922010497,0,0,0,1,0,0
6,2010,2,81506,40217664010497,0,0,1,0,0,0
6,2003,2,85267,24284353010900,0,0,1,0,0,0
6,2013,2,85267,44542599020004,0,0,1,0,0,0
6,2010,2,55174,40217670010497,0,0,1,0,0,0
6,2009,2,89323,29878996010497,0,0,1,0,0,0
6,2019,2,89323,558627726126144,0,0,1,0,0,0
6,2016,2,63424,345934233489998,0,0,1,0,0,0
6,2006,2,63424,8929427010901,0,0,1,0,0,0
6,2008,2,63870,29394834010497,0,0,1,0,0,0
6,2018,2,63870,484817633489998,0,0,1,0,0,0
6,2002,2,81153,23789707010900,0,0,1,0,0,0
6,2012,2,81153,30761931020004,0,0,1,0,0,0
6,2005,2,88090,15254666010497,0,0,1,0,0,0
6,2015,2,88090,273641329489998,0,0,1,0,0,0
6,2001,2,89796,23723550010900,0,0,0,1,0,0
6,2011,2,89796,48203189010497,0,0,0,1,0,0
6,2008,2,90028,22930640010497,0,0,0,1,0,0
6,2018,2,90028,484817416489998,0,0,0,1,0,0
6,2009,2,65291,29879345010497,0,0,0,1,0,0
6,2019,2,65291,558627964126144,0,0,0,1,0,0
6,2010,2,92288,40217778010497,0,0,1,0,0,0
6,2003,2,75312,24314868010900,0,0,0,1,0,0
6,2013,2,75312,44543708020004,0,0,0,1,0,0
6,2014,2,53722,216958580020004,0,0,0,1,0,0
6,2004,2,53722,25017911010900,0,0,0,1,0,0
6,2007,2,60208,22952941010497,0,0,1,0,0,0
6,2017,2,60208,412220027489998,0,0,1,0,0,0
6,2002,2,61060,23949965010900,0,0,1,0,0,0
6,2012,2,61060,30763032020004,0,0,1,0,0,0
6,2003,2,59697,24269610010900,0,0,1,0,0,0
6,2013,2,59697,44543453020004,0,0,1,0,0,0
6,2010,2,52306,40217863010497,0,0,0,1,0,0
6,2008,2,81918,22930790010497,0,0,1,0,0,0
6,2018,2,81918,484817541489998,0,0,1,0,0,0
6,2005,2,55221,15263698010497,0,0,0,1,0,0
6,2015,2,55221,273641769489998,0,0,0,1,0,0
6,2009,2,62147,29879831010497,0,0,0,1,0,0
6,2019,2,62147,558627059126144,0,0,0,1,0,0
6,2001,2,55154,23722067010900,0,0,0,1,0,0
6,2011,2,55154,48203482010497,0,0,0,1,0,0
6,2007,2,61742,22955066010497,0,0,1,0,0,0
6,2017,2,61742,412220626489998,0,0,1,0,0,0
6,2016,2,79738,345934352489998,0,0,1,0,0,0
6,2006,2,79738,8896592010901,0,0,0,1,0,0
6,2007,2,72732,22955163010497,0,0,0,1,0,0
6,2017,2,72732,412222919489998,0,0,0,1,0,0
6,2007,2,69466,22955166010497,0,0,0,1,0,0
6,2017,2,69466,412219912489998,0,0,0,1,0,0
6,2016,2,92893,345933900489998,0,0,0,1,0,0
6,2006,2,92893,8900696010901,0,0,0,1,0,0
6,2009,2,62130,29879557010497,0,0,1,0,0,0
6,2019,2,62130,558628059126144,0,0,1,0,0,0
6,2003,2,84929,24304033010900,0,0,0,1,0,0
6,2013,2,84929,44541266020004,0,0,0,1,0,0
6,2002,2,55510,23822659010900,0,0,1,0,0,0
6,2012,2,55510,30762030020004,0,0,1,0,0,0
6,2001,2,57068,23669133010900,0,0,1,0,0,0
6,2011,2,57068,48205550010497,0,0,1,0,0,0
6,2001,2,52542,23669156010900,0,0,1,0,0,0
6,2011,2,52542,48205687010497,0,0,1,0,0,0
6,2009,2,92730,29879029010497,0,0,1,0,0,0
6,2019,2,92730,558627490126144,0,0,1,0,0,0
6,2007,1,92239,22952977010497,0,0.842302,0,0.157698,0,0
6,2017,3,92239,412219755489998,0,0,0,0,1,0
6,2003,2,83958,24319721010900,0,0,0,1,0,0
6,2013,2,83958,44543725020004,0,0,0,1,0,0
6,2005,2,66125,15251235010497,0,0,0,1,0,0
6,2015,2,66125,273641664489998,0,0,0,1,0,0
6,2002,2,59447,23802510010900,0,0,1,0,0,0
6,2012,2,59447,30761858020004,0,0,1,0,0,0
6,2009,1,79785,29879441010497,0,0.869163,0.05531,0.075527,0,0
6,2019,1,79785,558627002126144,0,0.689933,0.05531,0.254757,0,0
6,2016,2,96764,345935440489998,0,0,0,1,0,0
6,2006,2,96764,8920242010901,0,0,0,1,0,0
6,2008,2,54753,22931453010497,0,0,0,1,0,0
6,2018,2,54753,484816652489998,0,0,0,1,0,0
6,2003,2,74822,24320640010900,0,0,1,0,0,0
6,2013,2,74822,44540395020004,0,0,1,0,0,0
6,2016,2,70946,345934023489998,0,0,1,0,0,0
6,2006,2,70946,8897495010901,0,0,1,0,0,0
6,2007,2,80830,22955311010497,0,0,0,1,0,0
6,2017,2,80830,412222265489998,0,0,0,1,0,0
6,2009,2,55685,29879519010497,0,0,0,1,0,0
6,2019,2,55685,558626976126144,0,0,0,1,0,0
6,2009,2,87139,29879567010497,0,0,1,0,0,0
6,2019,2,87139,558627672126144,0,0,1,0,0,0
6,2003,2,70406,24272043010900,0,0,0,1,0,0
6,2013,2,70406,44541605020004,0,0,0,1,0,0
6,2014,2,80359,216959204020004,0,0,0,1,0,0
6,2004,2,80359,25028994010900,0,0,0,1,0,0
6,2008,2,66098,22931483010497,0,0,1,0,0,0
6,2018,2,66098,484816671489998,0,0,0,1,0,0
6,2010,2,52945,9827954010902,0,0,0,1,0,0
6,2009,2,67638,29879636010497,0,0,0,1,0,0
6,2019,2,67638,558626996126144,0,0,0,1,0,0
6,2009,2,94249,29879647010497,0,0,0,1,0,0
6,2019,2,94249,558627140126144,0,0,0,1,0,0
6,2001,2,51576,23725361010900,0,0,0,1,0,0
6,2011,2,51576,48205598010497,0,0,0,1,0,0
6,2003,2,62877,24264792010900,0,0,0,1,0,0
6,2013,2,62877,44541200020004,0,0,0,1,0,0
6,2008,2,80491,22931510010497,0,0,0,1,0,0
6,2018,2,80491,484816797489998,0,0,0,1,0,0
6,2010,2,57595,9827854010902,0,0,0,1,0,0
6,2002,2,59093,23954293010900,0,0,0,1,0,0
6,2012,2,59093,30763069020004,0,0,0,1,0,0
6,2010,2,75763,40218287010497,0,0,0,1,0,0
6,2005,2,86776,15259771010497,0,0,1,0,0,0
6,2015,2,86776,273639981489998,0,0,1,0,0,0
6,2016,2,75148,345936211489998,0,0,0,1,0,0
6,2006,2,75148,8888722010901,0,0,0,1,0,0
6,2003,2,97889,24261497010900,0,0,1,0,0,0
6,2013,2,97889,44543511020004,0,0,1,0,0,0
6,2009,2,83517,29879239010497,0,0,1,0,0,0
6,2019,2,83517,558627409126144,0,0,1,0,0,0
6,2010,2,96068,40218318010497,0,0,0,1,0,0
6,2010,2,66379,40218334010497,0,0,0,1,0,0
6,2003,2,98451,24338462010900,0,0,0,1,0,0
6,2013,2,98451,44542429020004,0,0,0,1,0,0
6,2002,2,51199,23954253010900,0,0,0,1,0,0
6,2012,2,51199,30763054020004,0,0,0,1,0,0
6,2016,2,84253,345934130489998,0,0,0,1,0,0
6,2006,2,84253,8912705010901,0,0,0,1,0,0
6,2003,2,56643,24365367010900,0,0,0,1,0,0
6,2013,2,56643,44543518020004,0,0,0,1,0,0
6,2007,2,93429,22955407010497,0,0,0,1,0,0
6,2017,2,93429,412222226489998,0,0,0,1,0,0
6,2005,2,51434,15264007010497,0,0,0,1,0,0
6,2015,2,51434,273642046489998,0,0,0,1,0,0
6,2016,2,57971,345934780489998,0,0,0,1,0,0
6,2006,2,57971,8896861010901,0,0,0,1,0,0
6,2008,2,61651,22931647010497,0,0,0,1,0,0
6,2018,2,61651,484816737489998,0,0,0,1,0,0
6,2010,2,98437,9827853010902,0,0,0,1,0,0
6,2003,2,59197,24261684010900,0,0,0,1,0,0
6,2013,2,59197,44543262020004,0,0,0,1,0,0
6,2005,2,75351,15264022010497,0,0,0,1,0,0
6,2015,2,75351,273639865489998,0,0,0,1,0,0
6,2007,2,74018,22955416010497,0,0,0,1,0,0
6,2017,2,74018,412221353489998,0,0,0,1,0,0
6,2009,2,98977,29879974010497,0,0,0,1,0,0
6,2019,2,98977,558627080126144,0,0,0,1,0,0
6,2001,2,75921,23644994010900,0,0,0,1,0,0
6,2011,2,75921,48203863010497,0,0,0,1,0,0
6,2001,2,79229,23723272010900,0,0,0,1,0,0
6,2011,2,79229,48203868010497,0,0,0,1,0,0
6,2003,2,51559,24261698010900,0,0,0,1,0,0
6,2013,2,51559,44543714020004,0,0,0,1,0,0
6,2005,2,92283,15266213010497,0,0,0,1,0,0
6,2015,2,92283,273641981489998,0,0,0,1,0,0
6,2010,2,74117,9827858010902,0,0,0,1,0,0
6,2002,2,76194,23949643010900,0,0,0,1,0,0
6,2012,2,76194,30762785020004,0,0,0,1,0,0
6,2014,2,54727,216961082020004,0,0,0,1,0,0
6,2004,2,54727,25155411010900,0,0,0,1,0,0
