STATECD,PLOT_FIADB,INVYR,pre.precip,post.precip
53,53851,2008,2463.734,2720.641
6,69459,2003,232.4866816,295.6400052
6,68132,2007,197.15426,201.5590887
6,60907,2008,243.4451736,189.4169614
6,84689,2004,235.0489017,226.0485698
6,85956,2009,218.1986775,253.6780107
6,83164,2007,198.9925085,186.5838827
6,55148,2009,199.1522619,234.8642824
6,61285,2001,183.1446608,246.7594106
6,87553,2008,220.7273733,174.3943878
6,54820,2005,324.1589347,265.3255338
6,65629,2007,209.6299967,238.1955783
6,84116,2009,183.357825,345.3383522
6,80367,2009,213.3374828,337.968645
6,55209,2004,62.17703839,61.76334601
6,52440,2002,11.26983623,58.48373149
6,96189,2009,259.2507788,291.380581
6,73263,2001,340.8499559,338.0812507
6,72515,2008,71.16566001,63.63649292
6,63093,2006,56.65213109,63.07201913
6,82468,2008,67.78596581,59.15338405
6,58758,2001,304.5476152,308.3805576
6,66888,2003,265.3381367,218.4857888
6,93160,2005,310.9630304,183.5582614
6,58124,2007,61.86558387,62.88944109
6,81095,2002,12.43278134,59.30940394
6,89784,2004,61.36227682,55.42649414
6,60006,2006,54.84922171,54.8518933
6,76602,2002,243.7140783,270.4797197
6,56743,2004,221.3635884,166.7987174
6,97310,2009,58.16452938,76.43250914
6,93909,2001,15.49590822,74.36673203
6,81132,2003,33.30887316,58.72669443
6,55340,2006,54.14342084,50.12011122
6,60538,2004,220.3215302,177.4930406
6,71460,2001,17.05712779,76.34384134
6,71580,2003,36.15954631,63.79680215
6,97569,2005,85.67642066,66.39282136
6,94947,2007,59.29909446,53.20900223
6,58978,2009,55.82469206,63.10230928
6,84582,2002,13.38179927,68.09629365
6,95926,2004,64.47020208,58.2866761
6,59963,2006,60.42934788,56.31040369
6,59594,2008,67.31989514,48.29709334
6,96642,2004,68.46485701,52.4954025
6,61236,2002,12.97403697,68.97471435
6,77270,2008,79.17716742,52.64974799
6,96707,2005,398.2925737,244.6786295
6,80263,2003,33.25645568,55.10483888
6,89502,2005,102.9457658,62.64260324
6,99876,2007,74.94373038,54.91089436
6,75015,2007,72.95340558,55.78340246
6,85992,2009,63.16374885,65.94425542
6,77295,2001,13.33820149,80.90002289
6,94079,2006,59.34738563,58.65763931
6,65343,2008,304.2013253,206.5043587
6,58977,2001,172.1329342,257.2684687
6,85267,2003,167.5863377,124.9183342
6,89323,2009,380.0377,343.4665465
6,63424,2006,401.3178103,272.6782379
6,63870,2008,326.2801039,218.8334412
6,81153,2002,348.0279302,333.6308857
6,88090,2005,298.0492519,166.775642
6,89796,2001,691.0408092,592.151226
6,90028,2008,445.8760973,213.8634316
6,65291,2009,98.79647896,80.67900323
6,75312,2003,364.1355352,225.1485222
6,53722,2004,127.2199663,111.3200952
6,60208,2007,105.5050048,117.135062
6,61060,2002,426.927452,451.4157759
6,59697,2003,79.84576625,65.26682193
6,81918,2008,112.6190052,72.38449339
6,55221,2005,465.2804671,292.4063601
6,62147,2009,470.1038974,562.6709363
6,55154,2001,699.0339971,644.9015259
6,61742,2007,108.4949878,117.3861158
6,79738,2006,321.0199901,246.9508162
6,72732,2007,233.1582475,277.8347147
6,69466,2007,221.5646307,249.3318156
6,92893,2006,294.5527385,255.286509
6,62130,2009,83.81373299,94.69007075
6,84929,2003,280.0927573,224.9180261
6,55510,2002,55.47107764,41.05040207
6,57068,2001,137.9776944,163.4342637
6,52542,2001,79.56526003,70.57776722
6,92730,2009,253.6436873,369.7155358
6,92239,2007,418.368684,495.6174506
6,83958,2003,136.4709382,81.74424216
6,66125,2005,391.2743125,339.6327712
