State_Plot,LAT,LON
922396,36.270663,-121.389508
797856,36.522748,-121.803302
606966,38.187775,-119.761776
833106,39.021398,-121.251474
654186,39.731114,-121.975062
985086,40.733403,-122.40445
967236,40.839854,-122.36325
8445741,42.553786,-122.30073
9574741,42.696791,-122.664867
6405741,44.132738,-122.609456
5838041,45.01003,-122.544859
9138741,45.454023,-122.127365
9914353,46.320421,-122.223316
7105053,47.009096,-123.703311
6468353,47.031905,-123.803439
9304253,47.412674,-122.847384
8881653,47.518484,-121.583529
9833353,47.768097,-121.308052
6605153,48.212234,-124.113939
9727841,42.019403,-122.778593
8130941,42.017255,-122.517884
8712141,42.028808,-122.458567
6319941,42.053448,-122.398381
9157741,42.006371,-121.94511
8211641,42.004761,-121.224705
6396641,42.030273,-122.739318
6306341,42.039359,-122.67493
6199341,42.062408,-122.518521
5730041,42.055878,-122.455956
8949341,42.048998,-122.081304
6008141,42.085431,-122.732466
7512341,42.106075,-122.5194
6464641,42.096276,-122.454873
6379841,42.074345,-122.357275
6780141,42.099588,-122.078082
8224041,42.1038,-121.615284
6538641,42.132787,-123.495417
8721441,42.148631,-122.983651
8607841,42.107973,-122.38479
9389441,42.111944,-122.286545
9019641,42.108716,-121.950672
6941641,42.102339,-120.297381
7259941,42.153818,-123.187642
5922341,42.15109,-123.111623
8146841,42.168468,-122.787479
7674941,42.148903,-122.44975
8866941,42.13772,-121.041292
7388241,42.162333,-124.254231
8096441,42.206155,-123.163676
7277841,42.205935,-122.400145
6751541,42.142709,-121.134754
5449741,42.252713,-123.576874
8622441,42.208923,-123.443906
9267241,42.211441,-122.918346
7762441,42.225166,-122.868016
9332041,42.200508,-122.515414
9957641,42.201243,-122.456188
7881441,42.240916,-122.258441
8162941,42.200974,-122.170411
5896941,42.216039,-121.085857
6918041,42.254656,-123.515063
8826041,42.26367,-123.448994
9072841,42.254725,-123.393309
6393441,42.247132,-123.321197
7078141,42.262359,-123.116133
6913141,42.248224,-122.511278
5854441,42.252566,-122.158728
9626241,42.249845,-121.143832
6334541,42.304743,-123.459271
5439541,42.307726,-123.385509
7565041,42.294757,-123.321378
9824341,42.304676,-123.043813
6610541,42.302215,-122.589272
8473041,42.270889,-121.377631
9557941,42.328508,-123.605202
7051041,42.343742,-122.528349
9462841,42.353113,-121.613115
9602941,42.223901,-118.03559
8034441,42.35592,-123.260878
5095741,42.353065,-122.726268
9885041,42.400575,-123.251743
5448441,42.404686,-123.05205
9434241,42.404724,-122.722435
7271841,42.456356,-123.192919
5282941,42.443725,-122.713666
5209641,42.493116,-122.655637
9186241,42.506913,-124.184716
5691341,42.507117,-123.506781
6653441,42.503816,-123.049381
8431341,42.494159,-122.457124
7985341,42.55248,-123.727279
5114841,42.546256,-123.510922
7419741,42.556513,-122.92204
6756441,42.575722,-123.598531
7979941,42.587121,-123.517775
8075841,42.597836,-123.322259
9898641,42.59439,-122.595903
7730941,42.593917,-122.528551
5086541,42.611964,-123.809269
7023941,42.60552,-123.647093
7038741,42.592143,-123.578662
9953241,42.596259,-123.5022
5335041,42.60307,-123.45437
7115041,42.649126,-123.388279
8696141,42.604731,-123.118207
7144541,42.600304,-123.053323
6778041,42.590617,-122.786843
8917041,42.660226,-124.341069
6993041,42.648371,-123.641925
5638341,42.647375,-123.51276
5128141,42.639022,-123.321422
7366341,42.640447,-123.119397
6172841,42.647821,-123.048581
7706141,42.584753,-118.711347
5536441,42.68265,-124.436891
7142741,42.650213,-123.773848
9985341,42.695387,-123.706761
9227341,42.696826,-123.638004
6212441,42.699665,-123.520125
5315441,42.693064,-123.456649
6895241,42.699492,-123.247
8910541,42.705276,-123.131219
8539241,42.700488,-122.764222
5151241,42.64752,-120.604845
6636441,42.64591,-120.552114
9803541,42.647194,-119.60126
6089941,42.603149,-118.755311
8290841,42.706106,-123.778584
9385641,42.720307,-123.68126
8374541,42.740227,-123.523787
7801041,42.740436,-123.182093
6187741,42.706365,-122.525003
8409341,42.71391,-121.9696
9488541,42.649979,-118.66396400000001
9227741,42.743527,-123.852874
6975641,42.746452,-123.786383
8956841,42.750036,-123.730622
8677441,42.751935,-123.579767
8874841,42.753312,-123.241935
8596941,42.77453,-123.093433
8358141,42.757964,-122.017802
7809941,42.740325,-121.950067
5567441,42.676106,-118.767253
9420041,42.793022,-123.724635
7702341,42.800063,-123.444361
5650741,42.799173,-123.386964
5230141,42.82039,-122.766067
7587141,42.794475,-122.055681
6055141,42.839058,-123.792537
8218241,42.847766,-123.710221
5731841,42.797479,-123.588079
9355741,42.844193,-123.25094
7351841,42.839538,-122.156193
8390741,42.84414,-122.083536
9247941,42.844365,-122.016189
6999441,42.851561,-123.050747
5618841,42.855018,-122.254843
9662141,42.858565,-122.192227
6305041,42.875591,-122.125631
7058341,42.857876,-122.05835
7656441,42.892849,-122.009919
8505241,42.888233,-123.736464
8245441,42.884993,-123.582872
9657741,42.894756,-123.108347
6376641,42.888323,-122.220226
5618141,42.890593,-122.155485
6497641,42.892452,-122.086752
6163041,42.902398,-122.03462
8191441,42.941551,-123.596067
9213941,42.939679,-123.513989
9587841,42.933668,-123.453273
8133541,42.940775,-123.053442
6028241,42.941122,-122.232454
8897741,42.944076,-124.196081
5735341,42.994551,-123.919173
5995141,42.982406,-123.725837
5334041,42.985938,-123.592558
9845741,42.98757,-123.523685
6173841,42.992217,-122.219195
6386341,42.992039,-122.091253
7754741,42.932944,-122.031459
9265241,42.999239,-124.447427
8526541,42.993796,-123.858707
7449141,43.041401,-123.573092
9052041,42.991922,-123.247429
5860341,43.036705,-122.231668
6825041,43.035438,-123.772459
5584741,43.044713,-123.171961
5027141,43.036064,-123.038363
5413341,43.047839,-122.951944
6372641,43.054449,-122.263889
7242341,43.038905,-122.161506
9804241,43.040741,-122.084899
6948241,43.043128,-122.036651
8806941,43.066262,-123.89606
6763141,43.093221,-123.763429
9744741,43.057417,-122.186133
8662341,43.066908,-122.102932
9362241,43.056709,-121.608714
7014341,42.969159,-118.438448
9083541,43.097374,-124.050608
7526641,43.08453,-123.959659
5977941,43.147565,-123.70602
7386141,43.093625,-123.086848
6596941,43.094994,-123.03502
8543041,43.138791,-123.900156
6392941,43.14041,-123.830124
6271541,43.144835,-123.643541
8190941,43.193165,-124.056841
8529341,43.184485,-123.909995
9363041,43.191712,-123.84112
8273241,43.18843,-123.033769
8102341,43.18616,-122.965494
9835241,43.241235,-123.105668
9278841,43.232788,-122.945468
6404741,43.237614,-123.771437
6962041,43.282276,-123.038332
9427841,43.281088,-124.111014
6868341,43.293324,-123.771747
9767641,43.284837,-123.645978
6050841,43.289387,-123.576405
6953741,43.2947,-123.905929
6343041,43.34062,-123.031658
5994841,43.315194,-122.8982
6077741,43.338536,-124.357475
7288441,43.334856,-123.573739
7749041,43.383772,-122.947469
7003241,43.38148,-124.314175
6134341,43.377376,-123.09856
8159441,43.442678,-123.098383
9394041,43.427955,-122.884606
7025041,43.435926,-122.754724
5203441,43.487843,-123.437345
6094341,43.486801,-123.033825
8915541,43.461416,-122.758193
6641041,43.502952,-124.026157
6822241,43.509,-123.956979
6811841,43.522529,-123.900879
6132641,43.480801,-123.635452
9747241,43.495663,-123.575003
6638541,43.525574,-123.492068
9752241,43.482901,-122.884267
8372541,43.534895,-124.043642
7703741,43.541024,-123.980855
9027541,43.534273,-122.816927
9872741,43.584,-124.054882
6051841,43.587776,-123.974367
5781841,43.574745,-123.834458
7077141,43.576159,-123.762174
7432941,43.590642,-123.700987
6402441,43.575528,-123.371434
6365741,43.586313,-123.177081
8348641,43.580366,-122.945318
5356141,43.590761,-122.81356
7192841,43.582673,-121.549536
9791041,43.622462,-124.172796
5152841,43.59909,-123.836107
8288841,43.632684,-123.712409
6178941,43.632629,-123.631323
7455341,43.640596,-123.16762
5307041,43.628318,-122.75201
8723641,43.597122,-121.541606
5824241,43.512702,-118.428665
9909941,43.640202,-124.046318
6742841,43.637817,-123.969571
8133141,43.637799,-123.911525
8180941,43.633261,-123.836122
7184041,43.617376,-123.510019
6155641,43.631662,-123.437186
5250241,43.620329,-123.026726
7446741,43.677404,-123.783291
8379341,43.683401,-123.631732
5982141,43.680412,-123.571604
5173541,43.681694,-123.447624
5090441,43.688167,-122.878577
9352341,43.730469,-123.834866
9293541,43.731846,-123.770801
9333441,43.73096,-123.420413
6778241,43.681221,-123.235191
9052241,43.701592,-122.786336
8664741,43.729867,-123.696128
6418641,43.730168,-123.579018
7104741,43.778001,-123.493824
9066641,43.783715,-121.543639
5623841,43.782622,-123.706321
8871241,43.789001,-123.571805
7077841,43.778794,-123.152611
6235641,43.775968,-122.879743
9270341,43.708804,-119.235472
5001741,43.705013,-118.199539
9009841,43.825797,-123.84317
6490541,43.831849,-123.625472
7281741,43.822989,-123.511356
6624741,43.827414,-123.364414
5113441,43.826019,-123.224542
8311841,43.819428,-122.816944
7823441,43.757357,-119.215048
8284441,43.763793,-119.094205
8242841,43.751131,-118.685855
5636541,43.86552,-123.882831
6665541,43.876359,-123.699472
6276941,43.882613,-123.573994
6113641,43.870052,-123.35443
5681541,43.882674,-122.887896
8320441,43.926917,-124.116747
6634741,43.902723,-123.715271
5294741,43.877377,-123.489726
6803941,43.879116,-123.295544
8456741,43.876241,-120.178953
9818241,43.813423,-118.679724
5397241,43.928147,-123.701125
8351941,43.933185,-123.57276
7033341,43.971093,-123.579394
9258741,43.972677,-123.43549
7895041,44.014661,-123.778133
8551641,44.011028,-123.538129
9435341,43.943231,-118.976302
7154741,44.024699,-123.635504
5910841,43.947804,-118.480847
7321641,43.947355,-118.334447
6772641,44.064789,-123.705157
7393841,44.071488,-123.634393
9732741,43.947668,-118.406705
8719641,44.116618,-123.575614
8083841,44.124407,-122.736916
7158541,44.081672,-120.601949
7117641,44.173795,-123.6342
7420541,44.127613,-122.534503
5252741,44.120107,-122.477219
6943241,44.171568,-123.778941
6006841,44.177486,-123.512078
5456041,44.182069,-123.435937
5805641,44.173523,-122.946493
9810241,44.17778,-121.419948
7930441,44.215298,-123.438873
8760341,44.22988,-122.891361
5017541,44.219453,-121.483445
7936441,44.227013,-123.576349
5951341,44.145746,-118.060417
7263141,44.267026,-123.637017
9475041,44.27041,-123.586746
5213641,44.273055,-123.506077
8473941,44.264554,-122.742007
9098741,44.322805,-123.70815
8293841,44.330601,-123.632925
6560641,44.315677,-123.507709
5143541,44.3232,-122.746152
5826741,44.366989,-123.502855
5399641,44.414241,-123.645407
5585941,44.416081,-123.503099
5630641,44.41822,-123.442898
8968941,44.475222,-123.699654
7641841,44.457842,-123.643812
5139541,44.467533,-122.678406
8865241,44.418249,-119.780568
9318741,44.386463,-119.429637
9281541,44.507965,-122.688424
7252141,44.512464,-122.532377
6022041,44.466728,-122.203814
7728841,44.561315,-122.47109
8962741,44.561872,-123.633347
9280341,44.57007,-122.680057
6809041,44.600575,-122.450169
9014141,44.544195,-119.362069
6035441,44.448662,-117.856779
7825941,44.615804,-124.061216
5317141,44.610263,-123.726918
9437841,44.613379,-122.689145
6066341,44.616074,-122.411542
9392541,44.561685,-119.477631
9125541,44.528191,-118.681106
7592241,44.65394,-124.045363
5233341,44.614764,-123.790698
8497641,44.612225,-123.306603
6530241,44.659135,-123.239393
6413141,44.660665,-122.697405
5530041,44.662554,-122.621762
8152641,44.617208,-122.470367
5705641,44.723285,-123.625544
8192341,44.711653,-123.304828
8713441,44.71283,-122.473811
9894541,44.622222,-118.197869
9027441,44.546989,-117.227959
8877641,44.76682,-123.654382
8093841,44.764045,-122.329762
8335341,44.752765,-123.585232
9112541,44.805872,-122.476278
6077641,44.811726,-123.510808
8846441,44.859027,-122.612666
5914441,44.818714,-120.010766
6609141,44.767307,-118.188564
9412141,44.908669,-123.65557
7630941,44.906429,-123.44385
9924041,44.909576,-122.544856
7302241,44.915174,-122.40231
7604841,44.940545,-123.418028
6073641,44.961129,-122.412546
6401441,44.966098,-122.33862
9075641,44.936658,-119.509074
7111141,45.055922,-122.339134
8462641,44.980726,-119.094034
6585141,45.10604,-123.029237
5725141,45.053748,-118.948153
9899941,45.20323,-123.519783
5614941,45.158386,-121.418721
7102841,45.236382,-123.535487
7095441,45.260174,-123.454241
7231541,45.257353,-123.370498
9132741,45.254582,-122.882828
9552841,45.287218,-123.808316
7907141,45.299282,-123.662781
5600641,45.258412,-123.520986
9775441,45.305961,-123.373187
5795841,45.299643,-123.514234
7088841,45.311793,-123.450775
8126841,45.297722,-121.329591
7818441,45.37073,-123.759101
6986441,45.352825,-123.657674
5595241,45.356293,-123.591402
8779141,45.35379,-123.515452
6122841,45.358862,-122.475472
6305141,45.388061,-123.6199
6626741,45.400887,-123.555234
9339341,45.397847,-123.526291
9477241,45.409963,-123.452642
8314641,45.401934,-123.375785
6634541,45.392382,-122.197173
5300741,45.401343,-123.731605
9779541,45.403519,-123.661176
5174641,45.455062,-123.515786
7040041,45.449022,-123.451957
9383241,45.403923,-122.261295
5808041,45.342027,-118.501491
6903641,45.453333,-123.729016
8911641,45.446958,-123.594113
7487141,45.474981,-123.507882
5813841,45.457118,-123.379375
5488741,45.454218,-122.27027
8056141,45.447098,-121.776448
7777341,45.499891,-123.732561
9201441,45.502687,-123.663937
9213541,45.501283,-123.591856
9278041,45.493334,-123.529804
9853841,45.510153,-123.439618
6537641,45.501175,-123.380298
5052141,45.552651,-123.799215
8764141,45.54733,-123.733626
6527241,45.549555,-123.66427
5118741,45.546365,-123.582401
9499741,45.549632,-123.244175
6881641,45.584163,-123.705109
8851841,45.549193,-123.524474
6960141,45.54936,-123.440013
8985841,45.556575,-123.389153
6863041,45.552487,-122.122779
9202041,45.566464,-121.519781
7175841,45.605273,-123.799128
8678841,45.603917,-123.734273
8997841,45.595666,-123.589193
8327541,45.59973,-123.52347
5492141,45.604818,-123.448769
7420241,45.600327,-123.381915
7027641,45.593861,-122.829389
5118941,45.650843,-123.803318
6239541,45.624365,-123.6885
5073941,45.644912,-123.597743
8491541,45.651888,-123.524276
8757541,45.64756,-123.383058
9474141,45.646707,-123.320901
6094841,45.639075,-121.629242
5617741,45.695794,-123.80978
6794041,45.64674,-123.741878
6732941,45.655689,-123.660904
7922741,45.700948,-123.52706
9892641,45.699498,-123.453932
6249541,45.70097,-123.391759
9298641,45.655375,-123.244672
6853341,45.692736,-121.626749
6626441,45.710195,-123.73813
9992141,45.694079,-123.66702
5226941,45.698895,-123.593514
5051641,45.711639,-123.546715
7803041,45.724052,-123.482505
6577041,45.726934,-123.420612
9966941,45.699741,-123.31423
6112141,45.697572,-123.244021
7420841,45.690416,-121.434547
9312941,45.747507,-123.813318
8799841,45.749078,-123.730055
7177841,45.75136,-123.593851
9259841,45.738161,-123.347248
8716641,45.746852,-123.243709
8325841,45.794452,-123.666454
6990241,45.743791,-123.46077
6630041,45.745372,-123.378172
7975641,45.799805,-123.811607
6585241,45.828358,-123.758823
5442841,45.796814,-123.454181
8120741,45.822569,-123.367636
5395941,45.846288,-123.738138
8273641,45.846558,-123.526244
7926441,45.89467,-123.462815
7460441,45.915684,-123.626085
9612041,45.965214,-123.465712
9134041,45.994061,-123.527821
7728341,46.04504,-123.605792
5771141,46.089188,-123.59678099999999
8298241,46.046366,-123.460009
6677441,46.052101,-123.361568
7052141,45.933248,-117.517773
5913841,46.113383,-123.636409
6295341,46.094051,-123.461996
8484741,46.191056,-123.528162
6746941,46.241395,-123.449716
5753141,42.016721,-122.019471
6432741,42.00255,-121.145338
8833941,42.050276,-122.287876
6092441,42.05497,-121.151234
7673541,42.057053,-121.094687
8414741,42.006866,-121.023032
7477041,42.10419,-121.151945
5762741,42.11581,-123.519671
8390241,42.1021,-121.088163
7658541,42.106196,-119.957444
8715141,42.022551,-118.292412
9002241,42.149557,-122.916079
7162741,42.152137,-122.829607
7105141,42.12396,-121.164376
7436141,42.12688,-121.110175
6438841,42.143316,-120.978676
6072641,42.041602,-118.313263
6543841,42.211476,-123.635801
6192941,42.195922,-123.188238
5573841,42.176278,-121.507289
9274241,42.153415,-121.013926
6910141,42.252872000000004,-121.417187
5686041,42.182241,-119.716853
9337341,42.124332,-118.044628
7959741,42.244266,-123.055893
5205241,42.202002,-119.949673
6007841,42.169232,-118.039674
9278441,42.301161,-119.951534
8074141,42.299083,-119.898287
