sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,8.100242202031538e-4,0.01968169647304015,-0.03776610086695554,0.03938614930736185
white fir,15,ABCO,Abies concolor,2016,1954,-0.027479870007052654,0.020731057780384206,-0.0681127432566057,0.013153003242500391
grand fir,17,ABGR,Abies grandis,1768,1754,0.018474366745952153,0.019187966448026436,-0.01913404749217966,0.056082780984083966
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.038999285260890915,0.038009119645500314,-0.11349715976607153,0.0354985892442897
California red fir,20,ABMA,Abies magnifica,579,582,0.009854027404399446,0.019697669455047032,-0.028753404727492736,0.04846145953629163
noble fir,22,ABPR,Abies procera,401,423,-0.03350981852561219,0.04322014529816057,-0.1182213033100069,0.051201666258782516
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,0.033691050259097466,0.08633340101242144,-0.13552241572524856,0.2029045162434435
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.03469372928188008,0.059468831218784914,-0.15125263847069853,0.08186517990693835
California juniper,62,JUCA7,Juniperus californica,64,65,0.15329650014646745,0.09091231182209593,-0.02489163102484057,0.3314846313177755
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.002632707065354012,0.02140533324857268,-0.04458716023255646,0.03932174610184844
western larch,73,LAOC,Larix occidentalis,1059,1056,-1.835300041257426e-4,0.025543176890628114,-0.050248156709756846,0.04988109670150536
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.019551114864896135,0.03773669146935166,-0.09351503014482539,0.054412800415033116
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,0.030503238657553666,0.03909128722612614,-0.04611568430565356,0.1071221616207609
Sitka spruce,98,PISI,Picea sitchensis,269,261,-0.0865312855095306,0.035953767793534756,-0.1570006703848587,-0.016061900634202472
whitebark pine,101,PIAL,Pinus albicaulis,203,181,0.06826412667299486,0.07458890166768627,-0.07793012059567023,0.21445837394165995
knobcone pine,103,PIAT,Pinus attenuata,83,77,0.09405471853847835,0.3342932484150316,-0.5611600483549836,0.7492694854319403
lodgepole pine,108,PICO,Pinus contorta,2255,2193,0.04401855236061891,0.025996977200929642,-0.006935522953203183,0.09497262767444101
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-0.010390056924338253,0.02238087214723386,-0.05425656633291662,0.03347645248424011
sugar pine,117,PILA,Pinus lambertiana,991,914,0.03607442637282254,0.04035058131234007,-0.04301271299936399,0.11516156574500908
western white pine,119,PIMO3,Pinus monticola,604,605,-0.03079436166470728,0.0708955135835008,-0.16974956828836885,0.10816084495895428
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-0.04052756032491445,0.01703666156606409,-0.07391941699440006,-0.0071357036554288295
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.04980857243963044,0.07855043047678943,-0.2037674161741377,0.10415027129487683
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-0.027821039678485704,0.04643674979157197,-0.11883706926996676,0.06319498991299535
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8257,0.01013434412205605,0.014471343703191043,-0.018229489536198393,0.03849817778031049
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.006908970522593094,0.01962377882690292,-0.04537157702332281,0.031553635978136624
Pacific yew,231,TABR2,Taxus brevifolia,220,206,0.058409948759967634,0.08609760554469226,-0.11034135810762918,0.22716125562756445
western redcedar,242,THPL,Thuja plicata,1461,1487,0.0031222513938438112,0.024764264730769137,-0.0454157074784637,0.05166021026615132
western hemlock,263,TSHE,Tsuga heterophylla,2744,2787,0.0064174790245807856,0.02321730804203521,-0.039088444737808224,0.051923402786969795
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,-0.016885247323561003,0.027817312742309336,-0.0714071802984873,0.03763668565136529
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-0.07093297240196073,0.04921455845550658,-0.16739350697475364,0.02552756217083217
California buckeye,333,AECA,Aesculus californica,79,74,-0.0815496379455034,0.2211024800622478,-0.5149104988675091,0.3518112229765023
red alder,351,ALRU2,Alnus rubra,1317,1285,-0.04365416098558583,0.03555038691337309,-0.11333291933579709,0.026024597364625424
white alder,352,ALRH2,Alnus rhombifolia,71,66,0.11635179581056931,0.20874946067583777,-0.29279714711407273,0.5255007387352113
Pacific madrone,361,ARME,Arbutus menziesii,839,803,0.09800242073639431,0.05123307445670363,-0.002414405198744793,0.19841924667153343
paper birch,375,BEPA,Betula papyrifera,80,70,0.015685080348063707,0.1406508506651674,-0.25999058695566435,0.29136074765179176
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,345,328,-0.011696474492495668,0.08819426727221787,-0.18455723834604268,0.16116428936105134
Pacific dogwood,492,CONU4,Cornus nuttallii,95,84,0.2990774196454584,0.3046630671706083,-0.2980621920089339,0.8962170312998508
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-0.12828979757481918,0.18843320884448458,-0.49761888691000894,0.2410392917603706
tanoak,631,NODE3,Notholithocarpus densiflorus,650,643,0.10199410405212639,0.04623131787097253,0.011380721025020232,0.19260748707923253
quaking aspen,746,POTR5,Populus tremuloides,119,106,-0.035065989113329366,0.10518965427750313,-0.2412377114972355,0.17110573327057677
black cottonwood,747,POBAT,Populus balsamifera,168,167,0.0980607709975665,0.07997622192921533,-0.05869262398369554,0.25481416597882856
bitter cherry,768,PREM,Prunus emarginata,126,158,-0.028944922405486295,0.1194874064710212,-0.26314023908868783,0.20525039427771524
California live oak,801,QUAG,Quercus agrifolia,199,194,-0.0892909143878029,0.08147079716612603,-0.2489736768334099,0.0703918480578041
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,0.0037048430768287233,0.035617967097970826,-0.0661063724351941,0.07351605858885155
blue oak,807,QUDO,Quercus douglasii,340,335,0.01356378921602186,0.007126241920487595,-4.0364494813382654e-4,0.027531223380177546
Oregon white oak,815,QUGA4,Quercus garryana,334,332,0.047637022492876824,0.06424825302898435,-0.07828955344393249,0.17356359842968613
California black oak,818,QUKE,Quercus kelloggii,896,847,0.022042313971983418,0.035542180891867885,-0.04762036057607763,0.09170498852004447
California white oak,821,QULO,Quercus lobata,62,60,0.02228621916857776,0.020754123104515843,-0.01839186211627329,0.06296430045342881
interior live oak,839,QUWI2,Quercus wislizeni,207,197,0.017677367692332524,0.07119994352439483,-0.12187452161548135,0.1572292570001464
California laurel,981,UMCA,Umbellularia californica,264,277,0.0616114945460815,0.07148914185356915,-0.07850722348691402,0.20173021257907703
