SppNames,spp.codes,Spp.symbol,SciName,n.lt,n.gt,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,365,494,-58.27781322102555,82.90498497480218,-220.7715837716378,104.2159573295867
white fir,15,ABCO,Abies concolor,751,721,-68.47607459702999,30.53811433435475,-128.3307786923653,-8.621370501694685
grand fir,17,ABGR,Abies grandis,544,693,-101.04256251126844,39.76002162942427,-178.97220490494,-23.11292011759687
subalpine fir,19,ABLA,Abies lasiocarpa,319,266,126.80494782531355,81.13997409150083,-32.22940139402809,285.83929704465515
California red fir,20,ABMA,Abies magnifica,199,165,-77.93110742213162,44.36708338719689,-164.89059086103754,9.028376016774288
noble fir,22,ABPR,Abies procera,83,151,180.27440974663568,123.82388458570867,-62.420404041353294,422.9692235346247
western juniper,64,JUOC,Juniperus occidentalis,130,295,-5.3159101184468796,14.160720754881773,-33.070922798015154,22.439102561121395
western larch,73,LAOC,Larix occidentalis,277,207,-34.13126561815386,38.97943869167822,-110.53096545384317,42.26843421753544
incense cedar,81,CADE27,Calocedrus decurrens,308,360,2.863289948242027,44.31355276736783,-83.99127347579892,89.71785337228297
Engelmann spruce,93,PIEN,Picea engelmannii,220,214,-5.608817826552695,73.56786787619376,-149.80183886389247,138.58420321078708
Sitka spruce,98,PISI,Picea sitchensis,92,62,-71.50158449635182,106.00414556583812,-279.26970980539454,136.2665408126909
lodgepole pine,108,PICO,Pinus contorta,884,868,-106.45434815567967,33.33917185530759,-171.79912499208254,-41.109571319276796
Jeffrey pine,116,PIJE,Pinus jeffreyi,144,154,105.28711815674137,78.00604209600411,-47.60472435142668,258.1789606649094
sugar pine,117,PILA,Pinus lambertiana,226,121,7.654125976928526,83.09390247520841,-155.20992287447996,170.518174828337
western white pine,119,PIMO3,Pinus monticola,158,144,135.64865634880016,126.30797101638872,-111.91496684332174,383.21227954092205
ponderosa pine,122,PIPO,Pinus ponderosa,1235,1425,-21.901976936786014,18.911836353664842,-58.969176189969104,15.165222316397077
Douglas fir,202,PSME,Pseudotsuga menziesii,2672,2730,-99.34545213157207,29.187797331679807,-156.55353490166448,-42.13736936147966
western redcedar,242,THPL,Thuja plicata,219,473,-118.60194822458902,82.79079930257262,-280.8719148576314,43.66801840845332
western hemlock,263,TSHE,Tsuga heterophylla,823,1118,-51.91859773719625,46.204638208659624,-142.4796886261691,38.642493151776605
mountain hemlock,264,TSME,Tsuga mertensiana,183,246,32.60785633059618,98.50686721626799,-160.46560341328907,225.68131607448143
bigleaf maple,312,ACMA3,Acer macrophyllum,235,297,-61.22333113973582,52.828131133145426,-164.76646816070087,42.319805881229215
red alder,351,ALRU2,Alnus rubra,663,457,-10.001120308634654,48.1119718069092,-104.30058505017669,84.29834443290738
Pacific madrone,361,ARME,Arbutus menziesii,313,157,-187.8996610411482,73.98290441924995,-332.9061537028781,-42.893168379418285
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,120,108,68.8145927307587,144.58533289091747,-214.57265973543952,352.2018451969569
tanoak,631,NODE3,Notholithocarpus densiflorus,279,258,12.099586824018616,76.8165808766293,-138.46091169417483,162.66008534221206
bitter cherry,768,PREM,Prunus emarginata,59,102,94.77897120805778,104.56552883748849,-110.16946531341964,299.72740772953523
canyon live oak,805,QUCH2,Quercus chrysolepis,225,283,-23.226344644612027,74.97694821926257,-170.18116315436666,123.7284738651426
blue oak,807,QUDO,Quercus douglasii,68,60,106.5697764113105,41.35826120556063,25.507584448411663,187.63196837420935
Oregon white oak,815,QUGA4,Quercus garryana,89,107,-239.7856010819021,75.73493683920259,-388.22607728673916,-91.34512487706502
California black oak,818,QUKE,Quercus kelloggii,326,171,-90.15887438416917,42.77906448252997,-174.0058407699279,-6.311907998410433
interior live oak,839,QUWI2,Quercus wislizeni,85,68,65.25119150362173,42.48961158281863,-18.028447198702793,148.53083020594624
