sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,-0.0033176590813226354,0.0012340391283480745,0.005746972783707425
white fir,15,ABCO,Abies concolor,2016,1954,-0.03095894588674333,-0.012265037097896725,0.004676504766776054
grand fir,17,ABGR,Abies grandis,1768,1754,-0.0043693645984338786,0.00473917098601262,0.013645084457370515
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.028647011926680604,-0.0125532489526613,0.003024781532195414
California red fir,20,ABMA,Abies magnifica,579,582,-0.040046634177810334,-0.016665381558901737,0.003710095107722397
noble fir,22,ABPR,Abies procera,401,423,-0.026932871299560988,-0.012512078774027158,-0.0011064147915319884
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,-0.030034989923756104,0.025859058551650937,0.07661898804584792
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.013167871624401917,0.005278176132219814,0.02443957622958605
California juniper,62,JUCA7,Juniperus californica,64,65,-0.11948537566918419,-0.024526423726431545,0.03401561153907804
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.013310988205182344,-0.0027172742138150685,0.007447450368644184
western larch,73,LAOC,Larix occidentalis,1059,1056,-0.01075577252729486,-0.0012143864611969812,0.008905512570712423
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.035677920605527526,-0.009177494017392318,0.017506480302803634
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,-0.00194759336665114,0.010927090957508434,0.024263477732818776
Sitka spruce,98,PISI,Picea sitchensis,269,261,-0.00756352537471325,0.00167168108365498,0.010061855701662277
whitebark pine,101,PIAL,Pinus albicaulis,203,181,0.007569202404060644,0.03612826122040036,0.06816873933882042
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.2821201035171134,-0.08160667033601521,0.17392123784943186
lodgepole pine,108,PICO,Pinus contorta,2255,2193,-0.007770186974240717,0.0034479096396796693,0.016266643331809518
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-0.03637362615237752,-0.01784441840026707,-5.344508271709233e-4
