sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1142,1171,0.011788106120012465,0.02306170310697836,-0.033412831969665116,0.056989044209690046
white fir,15,ABCO,Abies concolor,1992,1954,-0.04673935116401928,0.02314725844039749,-0.09210797770719836,-0.0013707246208402024
grand fir,17,ABGR,Abies grandis,1737,1754,0.007601215378270965,0.020060853693005233,-0.03171805786001929,0.04692048861656122
subalpine fir,19,ABLA,Abies lasiocarpa,758,723,-0.026438098406524446,0.04279126066015523,-0.11030896930042869,0.057432772487379796
California red fir,20,ABMA,Abies magnifica,577,582,-0.0012469867822648695,0.024114234839440175,-0.048510887067567614,0.046016913503037875
noble fir,22,ABPR,Abies procera,386,423,0.02435685069022142,0.057972694214396533,-0.08926962996999578,0.1379833313504386
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,83,81,-0.03730935648867728,0.10829308466577166,-0.24956380243358972,0.17494508945623516
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,106,116,0.028737038418461758,0.08600144457143874,-0.13982579294155817,0.19729986977848168
California juniper,62,JUCA7,Juniperus californica,64,65,0.15329650014646745,0.09091231182209593,-0.02489163102484057,0.3314846313177755
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.002632707065354012,0.02140533324857268,-0.04458716023255646,0.03932174610184844
western larch,73,LAOC,Larix occidentalis,1057,1056,-0.0020770831395680034,0.02555644527940335,-0.052167715887198575,0.04801354960806257
incense cedar,81,CADE27,Calocedrus decurrens,1326,1302,-0.02640497965354882,0.038226202118865404,-0.10132833580652502,0.048518376499427376
Engelmann spruce,93,PIEN,Picea engelmannii,745,704,0.03946634244734071,0.03980135781990335,-0.03854431887966986,0.11747700377435127
Sitka spruce,98,PISI,Picea sitchensis,266,261,-0.09008428534350621,0.03626125910228517,-0.16115635318398513,-0.01901221750302727
whitebark pine,101,PIAL,Pinus albicaulis,198,181,0.08077575756274946,0.07130856364290163,-0.05898902717733773,0.22054054230283665
knobcone pine,103,PIAT,Pinus attenuata,83,77,0.09405471853847835,0.3342932484150316,-0.5611600483549836,0.7492694854319403
lodgepole pine,108,PICO,Pinus contorta,2252,2193,0.04273916750911333,0.026280490881991674,-0.00877059461959035,0.094248929637817
Jeffrey pine,116,PIJE,Pinus jeffreyi,634,622,-0.013453847359873095,0.02265081026908695,-0.05784943548728352,0.030941740767537328
sugar pine,117,PILA,Pinus lambertiana,987,914,0.026187755216652064,0.04080736268861267,-0.053794675653028756,0.10617018608633289
western white pine,119,PIMO3,Pinus monticola,598,605,-0.028939609328750393,0.07269595206716153,-0.171423675380387,0.11354445672288621
ponderosa pine,122,PIPO,Pinus ponderosa,4573,4606,-0.033191882716014476,0.017457592195296367,-0.06740876341879536,0.0010249979867664044
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.04980857243963044,0.07855043047678943,-0.2037674161741377,0.10415027129487683
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-0.027821039678485704,0.04643674979157197,-0.11883706926996676,0.06319498991299535
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8258,0.009055754709288877,0.014529247218331579,-0.019421569838641017,0.03753307925721877
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.006908970522593094,0.01962377882690292,-0.04537157702332281,0.031553635978136624
Pacific yew,231,TABR2,Taxus brevifolia,220,206,0.058409948759967634,0.08609760554469226,-0.11034135810762918,0.22716125562756445
western redcedar,242,THPL,Thuja plicata,1455,1487,0.006209689788722272,0.02508986180148311,-0.04296643934218462,0.05538581891962917
western hemlock,263,TSHE,Tsuga heterophylla,2733,2788,0.0013867197141426146,0.02337608208819398,-0.044430401178717584,0.04720384060700281
mountain hemlock,264,TSME,Tsuga mertensiana,730,754,0.004024577595115986,0.033757060687999454,-0.06213926135336294,0.07018841654359491
bigleaf maple,312,ACMA3,Acer macrophyllum,940,941,-0.06579942692714091,0.04994349586540437,-0.1636886788233335,0.03208982496905165
California buckeye,333,AECA,Aesculus californica,79,74,-0.0815496379455034,0.2211024800622478,-0.5149104988675091,0.3518112229765023
red alder,351,ALRU2,Alnus rubra,1311,1286,-0.035033083368771756,0.03620820511731262,-0.10600116539870448,0.03593499866116097
white alder,352,ALRH2,Alnus rhombifolia,67,66,-0.2603085167615369,0.29009837116275267,-0.8289013242405321,0.30828429071745833
Pacific madrone,361,ARME,Arbutus menziesii,839,803,0.09800242073639431,0.05123307445670363,-0.002414405198744793,0.19841924667153343
paper birch,375,BEPA,Betula papyrifera,76,70,-0.021748651230236504,0.14594207132985487,-0.30779511103675206,0.26429780857627905
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,342,328,0.00195153005734916,0.08945668540745312,-0.17338357334125895,0.17728663345595727
Pacific dogwood,492,CONU4,Cornus nuttallii,94,84,0.26378582847458176,0.30329527040712867,-0.33067290152339046,0.858244558472554
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-0.12828979757481918,0.18843320884448458,-0.49761888691000894,0.2410392917603706
tanoak,631,NODE3,Notholithocarpus densiflorus,646,643,0.0982590706082771,0.046196836809883526,0.0077132704609053915,0.1888048707556488
quaking aspen,746,POTR5,Populus tremuloides,118,106,-0.045678112164040385,0.10709013796909263,-0.2555747825834619,0.16421855825538115
black cottonwood,747,POBAT,Populus balsamifera,167,167,0.09358859616900794,0.08032029384666527,-0.06383917977045597,0.25101637210847183
bitter cherry,768,PREM,Prunus emarginata,125,158,-0.03741036602582071,0.12021119136837763,-0.2730243011078408,0.19820356905619943
California live oak,801,QUAG,Quercus agrifolia,199,194,-0.0892909143878029,0.08147079716612603,-0.2489736768334099,0.0703918480578041
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,0.0037048430768287233,0.035617967097970826,-0.0661063724351941,0.07351605858885155
blue oak,807,QUDO,Quercus douglasii,340,335,0.01356378921602186,0.007126241920487595,-4.0364494813382654e-4,0.027531223380177546
Oregon white oak,815,QUGA4,Quercus garryana,331,332,0.04544856657621388,0.06443272623255047,-0.08083957683958504,0.1717367099920128
California black oak,818,QUKE,Quercus kelloggii,894,847,0.01272852974500438,0.03736223976221552,-0.06050146018893804,0.0859585196789468
California white oak,821,QULO,Quercus lobata,62,60,0.02228621916857776,0.020754123104515843,-0.01839186211627329,0.06296430045342881
