sppname,spp.codes,Spp.symbol,SciName,n.orig,n.revis,LCI,mean,UCI
Pacific silver fir,11,ABAM,Abies amabilis,1163,1171,-0.022233583045320457,0.006362601216338248,0.03544102529925769
white fir,15,ABCO,Abies concolor,2016,1954,-0.06890961192546138,-0.028939431940299798,0.01197606914201652
grand fir,17,ABGR,Abies grandis,1768,1754,-0.014628688676030599,0.014350127267539925,0.0437949875828912
subalpine fir,19,ABLA,Abies lasiocarpa,774,723,-0.08937988800091966,-0.03076008477535197,0.021353565449152064
California red fir,20,ABMA,Abies magnifica,579,582,-0.02141520052866617,0.015544830476540206,0.059245826727665644
noble fir,22,ABPR,Abies procera,401,423,-0.08225511656131253,-0.0186073596761398,0.03966939152114629
Port Orford cedar,41,CHLA,Chamaecyparis lawsoniana,85,81,-0.13727060220313914,0.030551653901034648,0.20767205178185616
Alaska yellow cedar,42,CHNO,Chamaecyparis nootkatensis,112,116,-0.2264318781485184,-0.05432994667630764,0.038776430051943894
California juniper,62,JUCA7,Juniperus californica,64,65,-0.0157105832754171,0.12661589130649986,0.3690746798441574
western juniper,64,JUOC,Juniperus occidentalis,1020,1013,-0.04124097972357816,-0.004840903405942676,0.03147151630113209
western larch,73,LAOC,Larix occidentalis,1059,1056,-0.02700585582239521,0.009124602437847962,0.045131174234303593
incense cedar,81,CADE27,Calocedrus decurrens,1329,1302,-0.0981555135744864,-0.02065742219795741,0.06214101144757733
Engelmann spruce,93,PIEN,Picea engelmannii,749,704,-0.024392856930001327,0.030291412662938555,0.08265373733951313
Sitka spruce,98,PISI,Picea sitchensis,269,261,-0.14185526684705826,-0.06931559979749968,-0.002555516971350515
whitebark pine,101,PIAL,Pinus albicaulis,203,181,-0.029699810728995146,0.07348940943981752,0.17973638563178468
knobcone pine,103,PIAT,Pinus attenuata,83,77,-0.5931135520445804,-0.019861515028345877,0.5910647163058198
lodgepole pine,108,PICO,Pinus contorta,2255,2193,0.004026543209421441,0.04121401708308259,0.07928647258405633
Jeffrey pine,116,PIJE,Pinus jeffreyi,637,622,-0.05244808231270239,-0.00587650612309254,0.04782622310970316
sugar pine,117,PILA,Pinus lambertiana,991,914,-0.044781345515787274,0.0303276673643742,0.10796223324167466
western white pine,119,PIMO3,Pinus monticola,604,605,-0.13449393787729813,-0.03865002395167494,0.06399623195436728
ponderosa pine,122,PIPO,Pinus ponderosa,4581,4606,-0.07987114587235675,-0.045755105236639615,-0.01209662919222267
gray pine,127,PISA2,Pinus sabiniana,195,185,-0.27595323376068764,-0.0850984499459404,0.0800138714643756
singleleaf pinyon,133,PIMO,Pinus monophylla,203,193,-0.1518380491858232,-0.03880251736370788,0.0640729104702201
Douglas fir,202,PSME,Pseudotsuga menziesii,8269,8257,-0.026629667270050384,0.004516657325216222,0.03669529695258611
redwood,211,SESE3,Sequoia sempervirens,240,242,-0.08514264878965237,-0.033770558117109495,0.002597407245872407
Pacific yew,231,TABR2,Taxus brevifolia,220,206,-0.08682822696716919,0.06287764012871477,0.22691839377574574
western redcedar,242,THPL,Thuja plicata,1461,1487,-0.02453245663846846,0.015007223745293174,0.054436947433199157
western hemlock,263,TSHE,Tsuga heterophylla,2744,2787,-0.03445617508325256,0.0024324019868071645,0.03910593354537497
mountain hemlock,264,TSME,Tsuga mertensiana,743,754,-0.0726125358535104,-0.02325803248490743,0.018991786385572546
bigleaf maple,312,ACMA3,Acer macrophyllum,941,941,-0.18559357753243447,-0.07907949448085105,0.02463769897397182
California buckeye,333,AECA,Aesculus californica,79,74,-0.561955379644468,-0.03909636847554232,0.5020226749788715
red alder,351,ALRU2,Alnus rubra,1317,1285,-0.11581070087293553,-0.046651768420566064,0.020941653312999714
white alder,352,ALRH2,Alnus rhombifolia,71,66,-0.19239329526387294,0.14861628293685492,0.5907768161745313
Pacific madrone,361,ARME,Arbutus menziesii,839,803,0.02646492375788628,0.12334841237839544,0.22390263763695442
paper birch,375,BEPA,Betula papyrifera,80,70,-0.26825445604405856,0.02190653447383184,0.3729345109237797
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,345,328,-0.16010548174296008,-0.02218051584299996,0.11010003487317332
Pacific dogwood,492,CONU4,Cornus nuttallii,95,84,-0.34272415075629814,0.2607404286814736,0.8868204947882933
Oregon ash,542,FRLA,Fraxinus latifolia,57,65,-0.6014469113643808,-0.15486486860377724,0.3100066320210362
tanoak,631,NODE3,Notholithocarpus densiflorus,650,643,0.013638264317102912,0.10717035600153224,0.21285212815138585
quaking aspen,746,POTR5,Populus tremuloides,119,106,-0.2569832271166371,-0.0664109341315724,0.12534096275817735
black cottonwood,747,POBAT,Populus balsamifera,168,167,-0.06932323121947621,0.10430974100923329,0.28588891719718695
bitter cherry,768,PREM,Prunus emarginata,126,158,-0.20505409001590333,0.019601461255486008,0.24504852310381448
California live oak,801,QUAG,Quercus agrifolia,199,194,-0.335281440640555,-0.10279191537445875,0.11278716602039963
canyon live oak,805,QUCH2,Quercus chrysolepis,851,821,-0.07197468492114006,-0.004612830367353382,0.06245653775719577
